Label,URL
face,https://urldefense.com/v3/__https://www.sephora.com/product/radiant-creamy-concealer-P377873?icid2=products*20grid:p377873__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx88HKcIjQ$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/cicapair-tiger-grass-color-correcting-treatment-spf-30-P411540?icid2=products*20grid:p411540__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx9ZsMsU9A$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/fenty-beauty-rihanna-pro-filt-r-soft-matte-powder-foundation-P466829?icid2=products*20grid:p466829__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx-AsA7F3w$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/translucent-loose-setting-powder-P109908?icid2=products*20grid:p109908__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx-cXr4cAA$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/airbrush-flawless-finish-setting-powder-P433526?icid2=products*20grid:p433526__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx9p_Nn3Yg$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?icid2=products*20grid:p87985432__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx_ouykKIA$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/all-nighter-long-lasting-makeup-setting-spray-P263504?icid2=products*20grid:p263504__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx9g-ZEI0g$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/luminous-silk-foundation-P393401?icid2=products*20grid:p393401__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx_uQlTvfQ$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/match-stix-trio-P44543278?icid2=products*20grid:p44543278__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx9NQUp62g$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/hydro-grip-primer-P441813?icid2=products*20grid:p441813__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx8crTPxQg$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/double-wear-stay-in-place-makeup-P378284?icid2=products*20grid:p378284__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx8p_idriw$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/shimmering-skin-perfector-pressed-P381176?icid2=products*20grid:p381176__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx9cvOvB9g$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/ilia-super-serum-skin-tint-spf-40-P455418?icid2=products*20grid:p455418__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx_lRAPn3w$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/charlotte-tilbury-mini-airbrush-flawless-finish-setting-powder-P467754?icid2=products*20grid:p467754__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx_J8va6xA$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/hollywood-flawless-filter-P434104?icid2=products*20grid:p434104__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx-FI4Z6fw$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/bounce-liquid-whip-longwear-foundation-P433987?icid2=products*20grid:p433987__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx-9kuYt_g$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/glow-recipe-watermelon-glow-niacinamide-dew-drops-P466123?icid2=products*20grid:p466123__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx_oCH8HBA$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/soft-matte-complete-concealer-P416200?icid2=products*20grid:p416200__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx93c-q5MQ$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/nars-soft-matte-complete-foundation-P462720?icid2=products*20grid:p462720__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx-mkF-Y0A$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/under-eye-brightening-corrector-P393661?icid2=products*20grid:p393661__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx-OH0fUcQ$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/born-this-way-super-coverage-multi-use-sculpting-concealer-P432298?icid2=products*20grid:p432298__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx_ieCzJcA$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/supergoop-unseen-sunscreen-spf-40-P454380?icid2=products*20grid:p454380__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx8yPYYWIg$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/clay-play-face-shaping-palette-P420228?icid2=products*20grid:p420228__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx9TzVezQw$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products*20grid:p398321__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx8ZlX_Qtw$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/fenty-beauty-rihanna-fenty-glow-trio-face-lip-body-set-P462681?icid2=products*20grid:p462681__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx-124eQsw$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/highlight-powder-P401602?icid2=products*20grid:p401602__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx8vPuhydA$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/your-skin-but-better-cc-cream-spf-50-P411885?icid2=products*20grid:p411885__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx9UNCw3Wg$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/born-this-way-P397517?icid2=products*20grid:p397517__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx-bJs30TA$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/pro-filt-r-instant-retouch-concealer-P88779809?icid2=products*20grid:p88779809__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx9YPtyNsg$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/natural-radiant-longwear-foundation-P427301?icid2=products*20grid:p427301__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx9ZJq6MWA$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/complexion-rescue-tinted-hydrating-gel-cream-P393356?icid2=products*20grid:p393356__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx_j6h_q5w$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-liquid-blush-P97989778?icid2=products*20grid:p97989778__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx9zHCLUcw$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/charlotte-tilbury-airbrush-flawless-setting-spray-P461147?icid2=products*20grid:p461147__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx-w2rmULg$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/rare-beauty-by-selena-gomez-liquid-touch-weightless-foundation-P49848448?icid2=products*20grid:p49848448__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx8p4nLE9w$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/match-stix-matte-skinstick-P18975403?skuId=1925577&icid2=products*20grid:p18975403__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx_dfo0O1g$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/charlotte-tilbury-mini-hollywood-flawless-filter-P467607?icid2=products*20grid:p467607__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx-qUvpAxA$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/creaseless-concealer-P433206?icid2=products*20grid:p433206__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx-mVYHxFw$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/bareminerals-original-foundation-broad-spectrum-spf-15-P61003?icid2=products*20grid:p61003__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx9ouBUuVg$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/teint-idole-ultra-24h-long-wear-foundation-P308201?icid2=products*20grid:p308201__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx_U-44q4g$ 
face,https://urldefense.com/v3/__https://www.sephora.com/product/matte-velvet-skin-blurring-powder-foundation-P443566?icid2=products*20grid:p443566__;JQ!!Mih3wA!SDmb7C-mbJC9w0mwRXj1sFpaLGSeE_Z3lGSnfci_-V7PHKPI-CokrwCYsx8c7kcJjw$ 
