name,android,androidx,java,javax,kotlin,self
Andup variety1,49420.0,0.0,119366.0,1028.0,0.0,69666.0
BankBot variety1,2636.0,0.0,1588.0,0.0,0.0,36.0
BankBot variety2,69411.0,0.0,48170.0,0.0,0.0,2267.0
BankBot variety3,125295.0,0.0,57518.0,729.0,0.0,21401.0
BankBot variety4,4083.0,0.0,6694.0,0.0,0.0,4882.0
BankBot variety5,10175.0,0.0,3770.0,0.0,0.0,150.0
BankBot variety6,9222.0,0.0,3177.0,0.0,0.0,132.0
BankBot variety7,131803.0,0.0,67243.0,0.0,0.0,43375.0
BankBot variety8,150276.0,0.0,73708.0,208.0,0.0,26049.0
Boxer variety1,4356.0,0.0,5928.0,0.0,0.0,2552.0
DroidKungFu variety2,26040.0,0.0,82899.0,545.0,0.0,51856.0
DroidKungFu variety3,447.0,0.0,2056.0,10.0,0.0,1048.0
DroidKungFu variety4,3326.0,0.0,8322.0,72.0,0.0,5361.0
FakeAV variety1,6703.0,0.0,12230.0,16.0,0.0,11192.0
FakeAngry variety1,3046.0,0.0,5412.0,0.0,0.0,2282.0
FakeAngry variety2,2442.0,0.0,2824.0,2.0,0.0,2648.0
FakeDoc variety1,7289.0,0.0,14527.0,12.0,0.0,8433.0
FakeInst variety1,1611.0,0.0,8205.0,0.0,0.0,243.0
FakeInst variety2,3721.0,0.0,51964.0,0.0,0.0,20321.0
FakeInst variety3,59218.0,0.0,81562.0,0.0,0.0,22420.0
FakeInst variety4,3105.0,0.0,26733.0,0.0,0.0,410.0
FakeInst variety5,875.0,0.0,875.0,0.0,0.0,0.0
Fjcon variety1,8187.0,0.0,9472.0,96.0,0.0,6269.0
GingerMaster variety1,3664.0,0.0,9741.0,314.0,0.0,8109.0
GingerMaster variety2,6793.0,0.0,17276.0,128.0,0.0,12882.0
GingerMaster variety3,16956.0,0.0,37189.0,161.0,0.0,20796.0
GingerMaster variety4,5414.0,0.0,17537.0,138.0,0.0,11053.0
GingerMaster variety5,3629.0,0.0,18558.0,207.0,0.0,10207.0
GingerMaster variety6,6817.0,0.0,46247.0,999.0,0.0,37249.0
GingerMaster variety7,1169.0,0.0,5329.0,30.0,0.0,3177.0
Gorpo variety1,52747.0,0.0,136135.0,1559.0,0.0,132899.0
Kemoge variety1,33282.0,0.0,80593.0,793.0,0.0,73378.0
Koler variety1,2259.0,0.0,4328.0,0.0,0.0,883.0
Koler variety2,15290.0,0.0,5155.0,0.0,0.0,77.0
Ksapp variety1,20055.0,0.0,90460.0,814.0,0.0,56727.0
Kyview variety1,81017.0,0.0,215669.0,2218.0,0.0,156176.0
Lotoor variety1,4332.0,0.0,8901.0,26.0,0.0,5157.0
Lotoor variety10,6908.0,0.0,11066.0,15.0,0.0,3799.0
Lotoor variety11,2539.0,0.0,4905.0,25.0,0.0,2755.0
Lotoor variety12,3660.0,0.0,19053.0,147.0,0.0,13312.0
Lotoor variety13,6231.0,0.0,19427.0,102.0,0.0,15219.0
Lotoor variety14,8028.0,0.0,27224.0,173.0,0.0,14261.0
Lotoor variety15,648.0,0.0,340.0,0.0,0.0,0.0
Lotoor variety2,6778.0,0.0,89928.0,452.0,0.0,88626.0
Lotoor variety3,4.0,0.0,0.0,0.0,0.0,4.0
Lotoor variety4,19460.0,0.0,57571.0,156.0,0.0,38037.0
Lotoor variety5,204.0,0.0,436.0,8.0,0.0,168.0
Lotoor variety6,7690.0,0.0,15471.0,12.0,0.0,8131.0
Lotoor variety7,469.0,0.0,927.0,42.0,0.0,674.0
Lotoor variety8,315.0,0.0,716.0,0.0,0.0,323.0
Lotoor variety9,2286.0,0.0,4659.0,12.0,0.0,3434.0
Minimob variety1,143618.0,0.0,307208.0,1056.0,0.0,352524.0
MobileTX variety1,795.0,0.0,2625.0,0.0,0.0,1463.0
Mtk variety1,8471.0,0.0,35886.0,506.0,0.0,19271.0
Mtk variety2,521.0,0.0,2844.0,0.0,0.0,2446.0
Mtk variety3,6298.0,0.0,21560.0,114.0,0.0,15325.0
Nandrobox variety1,8158.0,0.0,22848.0,233.0,0.0,13007.0
Nandrobox variety2,28376.0,0.0,116213.0,1107.0,0.0,87980.0
Obad variety1,52.0,0.0,9954.0,0.0,0.0,8926.0
Roop variety1,161.0,0.0,10325.0,0.0,0.0,4109.0
RuMMS variety1,158236.0,0.0,64916.0,0.0,0.0,6466.0
RuMMS variety2,166140.0,0.0,71151.0,0.0,0.0,6322.0
RuMMS variety3,33088.0,0.0,12208.0,0.0,0.0,1448.0
RuMMS variety4,123051.0,0.0,42295.0,0.0,0.0,1864.0
SimpleLocker variety1,11045.0,0.0,44610.0,312.0,0.0,59107.0
SimpleLocker variety2,3942.0,0.0,2749.0,0.0,0.0,154.0
SimpleLocker variety3,234.0,0.0,11826.0,124.0,0.0,8755.0
SimpleLocker variety4,31.0,0.0,85.0,5.0,0.0,41.0
SmsZombie variety1,9.0,0.0,0.0,0.0,0.0,0.0
SpyBubble variety1,1137.0,0.0,15400.0,0.0,0.0,6482.0
Stealer variety1,3792.0,0.0,7340.0,0.0,0.0,3670.0
Steek variety1,1140.0,0.0,65628.0,120.0,0.0,189432.0
Univert variety1,8850.0,0.0,4880.0,0.0,0.0,250.0
Vidro variety1,3486.0,0.0,13587.0,65.0,0.0,7408.0
VikingHorde variety1,21344.0,0.0,27995.0,62.0,0.0,42099.0
Vmvol variety1,493.0,0.0,8759.0,0.0,0.0,10704.0
Youmi variety1,149910.0,0.0,446652.0,5194.0,0.0,467492.0
