date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
2017-01-02,8391.1,8391.15,8373.6,8376.75,8373.7,8365.6,8371.2,8368.1,8368.85,8369.85,8371.0,8369.55,8363.6,8358.5,8351.5,8345.35,8342.7,8348.35,8352.5,8362.7,8358.45,8360.65,8366.05,8366.65,8367.7,8361.4,8365.4,8366.9,8368.2,8367.4,8362.65,8358.0,8360.55,8361.45,8359.55,8358.4,8357.25,8358.0,8360.2,8360.75,8363.2,8365.3,8365.9,8364.6,8361.1,8361.8,8363.0,8363.7,8364.15,8362.9,8363.85,8361.05,8361.25,8361.75,8360.65,8358.25,8357.2,8357.05,8358.05,8358.15
2017-01-03,8385.1,8382.75,8380.3,8380.65,8377.2,8371.3,8377.5,8379.45,8379.95,8372.95,8371.25,8370.5,8375.45,8378.4,8378.05,8374.75,8372.6,8374.15,8374.8,8367.15,8367.55,8368.5,8367.65,8371.7,8372.85,8371.8,8374.55,8377.9,8373.25,8374.4,8369.5,8371.75,8372.6,8373.0,8379.05,8380.8,8383.15,8387.55,8386.4,8387.8,8394.55,8387.45,8387.15,8389.45,8391.1,8395.35,8394.4,8390.75,8391.15,8384.35,8389.05,8389.9,8389.45,8393.35,8394.15,8395.3,8391.55,8393.45,8396.2,8403.1
2017-01-04,8423.35,8430.15,8429.45,8425.35,8429.1,8431.7,8434.05,8424.95,8425.95,8422.35,8423.0,8427.55,8428.3,8427.35,8424.3,8425.75,8426.4,8429.45,8427.15,8420.05,8411.15,8413.0,8419.1,8417.9,8420.9,8418.55,8412.85,8417.45,8417.05,8417.1,8415.25,8422.4,8423.95,8427.05,8427.7,8430.65,8432.8,8435.8,8430.95,8430.6,8430.65,8429.7,8431.0,8431.25,8433.85,8435.25,8434.2,8434.5,8435.65,8438.4,8437.25,8435.65,8432.4,8429.95,8428.55,8433.95,8435.35,8434.85,8437.75,8438.85
2017-01-05,8450.8,8452.9,8445.95,8451.2,8451.95,8459.2,8461.3,8460.75,8459.85,8460.0,8460.35,8457.45,8458.5,8458.9,8453.7,8460.65,8458.45,8459.0,8463.3,8464.3,8464.5,8463.6,8463.0,8464.5,8465.4,8466.35,8468.8,8468.65,8469.65,8471.65,8472.15,8471.45,8472.45,8471.9,8469.35,8467.75,8469.85,8469.25,8468.1,8470.8,8472.3,8470.7,8471.4,8469.4,8470.7,8470.4,8468.4,8467.85,8464.85,8463.65,8464.9,8462.5,8460.65,8461.5,8462.7,8462.4,8461.25,8460.15,8458.25,8462.55
2017-01-06,8522.2,8525.25,8519.6,8521.6,8520.4,8522.05,8521.2,8532.65,8531.2,8531.35,8532.8,8531.25,8535.2,8531.65,8532.8,8529.65,8529.2,8525.5,8531.0,8529.4,8527.85,8528.95,8528.6,8531.2,8531.6,8529.85,8527.9,8528.6,8527.25,8526.55,8521.1,8521.0,8522.2,8524.1,8524.05,8521.65,8520.25,8520.6,8523.15,8525.45,8524.5,8524.25,8523.7,8525.7,8527.2,8528.85,8530.65,8531.7,8536.4,8536.75,8535.35,8535.6,8536.55,8536.8,8534.65,8532.35,8529.35,8525.9,8527.8,8525.9
2017-01-09,8479.15,8484.15,8479.65,8474.4,8472.2,8465.75,8469.15,8476.6,8483.95,8482.5,8485.75,8485.15,8484.95,8488.65,8488.65,8481.95,8480.15,8477.4,8474.8,8475.8,8477.25,8481.05,8479.7,8478.4,8473.35,8475.8,8473.85,8471.1,8469.15,8470.4,8471.4,8474.65,8475.3,8476.4,8478.6,8480.55,8481.95,8482.2,8483.35,8484.8,8482.55,8480.7,8478.25,8474.7,8474.5,8477.95,8480.95,8482.5,8484.05,8481.2,8477.15,8479.15,8476.05,8474.95,8473.85,8473.95,8474.15,8476.95,8475.15,8475.65
2017-01-10,8502.15,8508.65,8509.2,8510.9,8513.7,8515.6,8515.05,8516.05,8517.75,8520.6,8518.25,8513.85,8511.35,8510.75,8517.75,8516.5,8517.05,8512.1,8513.0,8508.55,8501.45,8505.8,8501.85,8500.8,8503.35,8502.7,8504.8,8502.5,8504.05,8503.35,8505.1,8507.35,8504.75,8503.35,8504.4,8505.7,8505.25,8504.85,8504.2,8505.9,8506.7,8505.5,8509.8,8508.8,8508.9,8508.65,8506.0,8505.45,8506.95,8509.05,8508.1,8507.9,8508.3,8510.45,8509.5,8508.4,8507.15,8507.0,8508.1,8508.55
2017-01-11,8567.45,8565.7,8567.7,8562.85,8560.8,8559.85,8566.15,8566.25,8564.8,8567.0,8571.2,8572.65,8574.05,8575.25,8570.4,8570.7,8571.9,8573.0,8573.5,8577.25,8577.1,8578.1,8576.5,8578.1,8579.55,8580.4,8578.15,8580.05,8583.7,8581.75,8581.95,8578.95,8578.5,8578.7,8582.25,8582.2,8581.9,8581.7,8583.05,8584.2,8583.65,8583.4,8583.35,8580.15,8579.65,8578.65,8577.2,8575.35,8579.15,8579.0,8580.4,8579.8,8581.55,8580.7,8580.3,8578.35,8578.4,8575.5,8576.85,8576.45
2017-01-12,8633.15,8631.45,8635.2,8635.15,8636.95,8638.9,8639.8,8642.95,8644.2,8646.2,8649.7,8651.25,8648.2,8647.7,8643.5,8650.8,8648.2,8650.6,8649.75,8652.0,8651.45,8655.5,8653.75,8655.85,8655.3,8658.2,8657.6,8654.55,8655.3,8654.7,8654.55,8649.8,8645.1,8645.65,8646.4,8643.55,8637.5,8633.1,8634.3,8636.8,8638.75,8638.05,8634.6,8626.25,8627.2,8629.45,8630.55,8633.85,8630.0,8631.5,8631.9,8632.25,8631.0,8627.95,8625.85,8622.85,8625.6,8627.7,8631.4,8633.75
2017-01-13,8682.1,8677.1,8676.6,8677.6,8675.55,8669.6,8670.45,8664.8,8671.15,8673.0,8670.15,8677.3,8667.95,8671.2,8667.4,8661.25,8661.9,8661.3,8656.75,8654.2,8652.5,8655.35,8655.9,8654.5,8651.65,8651.55,8645.9,8645.35,8649.1,8650.2,8656.1,8656.5,8653.4,8653.55,8649.1,8651.75,8646.1,8644.05,8636.7,8634.85,8633.0,8632.45,8632.9,8634.1,8634.9,8629.35,8631.6,8634.55,8634.8,8638.0,8638.55,8639.0,8644.35,8644.3,8641.9,8636.1,8636.25,8634.35,8627.8,8624.8
