epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
0,0.700427,0.519047619048,0.331125827815,0.906977,0.50390625,0.67012987013
1,0.861124,0.533333333333,0.695652173913,0.730626,0.5234375,0.687179487179
2,0.71679,0.533333333333,0.695652173913,0.67865,0.52734375,0.690537084399
3,0.678811,0.57619047619,0.715654952077,0.680904,0.53125,0.154929577465
4,0.674688,0.604761904762,0.477987421384,0.702633,0.4296875,0.0
5,0.689968,0.47619047619,0.0350877192982,0.680263,0.515625,0.0
6,0.687101,0.485714285714,0.0689655172414,0.680421,0.46875,0.0
7,0.684239,0.509523809524,0.162601626016,0.672349,0.64453125,0.551724137931
8,0.668274,0.614285714286,0.51497005988,0.663449,0.76953125,0.807817589577
9,0.655455,0.704761904762,0.725663716814,0.652091,0.59765625,0.717808219178
10,0.644115,0.704761904762,0.759689922481,0.635688,0.60546875,0.726287262873
11,0.62417,0.690476190476,0.754716981132,0.612656,0.66015625,0.772845953003
12,0.60352,0.7,0.767527675277,0.579051,0.640625,0.748633879781
13,0.569799,0.747619047619,0.7969348659,0.506947,0.76953125,0.829971181556
14,0.519081,0.766666666667,0.801619433198,0.469784,0.7734375,0.819875776398
15,0.484235,0.766666666667,0.793248945148,0.430224,0.7890625,0.840236686391
16,0.456851,0.77619047619,0.794759825328,0.408117,0.78515625,0.838709677419
17,0.450266,0.790476190476,0.803571428571,0.411071,0.78515625,0.818481848185
18,0.433491,0.809523809524,0.818181818182,0.413612,0.76171875,0.797342192691
19,0.399283,0.838095238095,0.845454545455,0.330812,0.8671875,0.888888888889
20,0.380942,0.842857142857,0.846511627907,0.320297,0.8359375,0.858108108108
21,0.358414,0.866666666667,0.869158878505,0.338372,0.85546875,0.864468864469
22,0.338761,0.885714285714,0.889908256881,0.320983,0.89453125,0.903225806452
23,0.305544,0.890476190476,0.896860986547,0.281258,0.92578125,0.934256055363
24,0.280343,0.895238095238,0.901785714286,0.343558,0.87109375,0.885017421603
25,0.258499,0.9,0.906666666667,0.366041,0.8359375,0.838461538462
26,0.218379,0.92380952381,0.927272727273,0.409523,0.78125,0.733333333333
27,0.195229,0.933333333333,0.936363636364,0.519219,0.77734375,0.767346938776
28,0.158203,0.952380952381,0.954954954955,0.455483,0.76171875,0.690355329949
29,0.129915,0.97619047619,0.977375565611,0.604817,0.73828125,0.707423580786
30,0.0906985,0.985714285714,0.986666666667,0.58364,0.77734375,0.779922779923
31,0.0746475,0.990476190476,0.991071428571,0.572643,0.828125,0.821138211382
32,0.0562659,0.990476190476,0.991071428571,0.742823,0.74609375,0.761904761905
33,0.0468166,0.995238095238,0.995515695067,0.601696,0.78125,0.806896551724
34,0.0450403,0.995238095238,0.995515695067,0.701503,0.73828125,0.752767527675
35,0.035521,0.995238095238,0.995515695067,0.559935,0.77734375,0.795698924731
36,0.0400584,0.995238095238,0.995515695067,0.679409,0.75,0.783783783784
37,0.0324571,0.995238095238,0.995515695067,0.722507,0.7890625,0.815068493151
38,0.0360973,0.995238095238,0.995515695067,0.878684,0.74609375,0.738955823293
39,0.029694,0.995238095238,0.995515695067,0.822774,0.78125,0.805555555556
40,0.031273,0.995238095238,0.995515695067,0.839712,0.73046875,0.752688172043
41,0.0298131,0.995238095238,0.995515695067,0.911574,0.71484375,0.743859649123
42,0.0280542,0.995238095238,0.995515695067,0.904261,0.71875,0.753424657534
43,0.0214694,0.995238095238,0.995515695067,0.890655,0.703125,0.741496598639
