epoch,train_ls,test_ls,test_acc
1,2.235520534278933,2.2124245775089344,0.17078189300411523
2,2.186496516889777,2.1482857079417617,0.17078189300411523
3,2.1441561387590142,2.138887492533574,0.2777777777777778
4,2.1435471763295575,2.225752114513774,0.17695473251028807
5,2.198485478881962,2.083883222238517,0.2674897119341564
6,1.984162991697138,1.9399605506241566,0.3549382716049383
7,1.9090715489111656,1.8141668091217678,0.3940329218106996
8,1.8483304386296548,1.78338444208412,0.38786008230452673
9,1.8217978635110146,1.7961907364474035,0.3816872427983539
10,1.7842520278347425,1.7365214493961185,0.3888888888888889
11,1.7487484768402477,1.7062148533056303,0.38271604938271603
12,1.7344650788740679,1.6860839102969125,0.3888888888888889
13,1.725914872382298,1.6639087866137088,0.4207818930041152
14,1.7114715536763845,1.653025116825116,0.41975308641975306
15,1.6934585659957129,1.6570183759930817,0.43209876543209874
16,1.7480741355044782,1.645858141999891,0.43106995884773663
17,1.6795382578510882,1.6312962272836837,0.41872427983539096
18,1.6557453131872761,1.662272832869962,0.41358024691358025
19,1.6279888300856282,1.6083515992181168,0.42901234567901236
20,1.6049650808996405,1.5934930720535172,0.4403292181069959
21,1.5875295287321423,1.5910882092054182,0.44135802469135804
22,1.578086552541118,1.5641907450662536,0.46399176954732513
23,1.5586686912646963,1.554654422047483,0.4845679012345679
24,1.546137149668922,1.5671136601590416,0.4886831275720165
25,1.5518319606781006,1.5740761709640976,0.47016460905349794
26,1.5463027688097362,1.5560987583637513,0.48045267489711935
27,1.5300771116225187,1.5438993016618148,0.49794238683127573
28,1.5373840272919206,1.5455662704134214,0.49074074074074076
29,1.5729259479144388,1.5810489924394606,0.47530864197530864
30,1.55524202122176,1.5564057657383996,0.49691358024691357
