epoch,train_ls,test_ls,test_acc
1,2.2574292194744774,2.233466712903584,0.25308641975308643
2,2.221923453748719,2.192818130607958,0.2726337448559671
3,2.1670957921950285,2.0630877090334403,0.360082304526749
4,2.0400644127002434,2.013540269538699,0.3611111111111111
5,1.9783458039780293,1.929167913801876,0.40843621399176955
6,1.9267774357283411,1.9047886128901454,0.43415637860082307
7,1.9061076493302653,1.9010696326202325,0.4166666666666667
8,1.8902054246792124,1.8525265886950395,0.4434156378600823
9,1.867612877167946,1.8209277573405716,0.4444444444444444
10,1.8485805929199723,1.8010155608869873,0.43930041152263377
11,1.8740131352558609,1.8362535197640397,0.4331275720164609
12,1.875907066439794,1.9076622593304748,0.39197530864197533
13,1.9244137125566971,1.932753037216732,0.37037037037037035
14,1.899501097103781,1.8758059266050167,0.4279835390946502
15,1.9031532441288972,1.8836248287846766,0.4156378600823045
16,1.8995417090486888,1.860584522141412,0.43004115226337447
17,1.876618049361489,1.835615246192602,0.4537037037037037
18,1.865604467628416,1.823748582851433,0.45164609053497945
19,1.8599001799733186,1.7988254498889662,0.4588477366255144
20,1.8392931961816203,1.8010233759328171,0.44135802469135804
21,1.814966021490491,1.7686918698128604,0.4547325102880658
22,1.806723023249098,1.7702407210053486,0.44135802469135804
23,1.782369901326077,1.732069695901141,0.4537037037037037
24,1.7796366116232123,1.7210921973695235,0.4660493827160494
25,1.7630486980942655,1.7176656499505043,0.4670781893004115
26,1.7564949023822123,1.7043639567638498,0.4609053497942387
27,1.7504716855435332,1.704497481953092,0.4495884773662551
28,1.7549325365665531,1.679688047701991,0.46399176954732513
29,1.7450751007095842,1.6731566290213984,0.4660493827160494
30,1.7272300631546778,1.6629041682760166,0.46810699588477367
