epoch,train_ls,test_ls,test_acc
1,2.27309861853103,2.2655589828275358,0.17386831275720166
2,2.2217541627647464,2.206344171070758,0.17386831275720166
3,2.1551658141711525,2.185222407856596,0.2602880658436214
4,2.1298717270212726,2.1804498855959733,0.23148148148148148
5,2.107186220894175,2.14769273321815,0.23353909465020575
6,2.075364036993547,2.140665204191404,0.2366255144032922
7,2.0605096807164593,2.145072272407665,0.2397119341563786
8,2.05591215673557,2.1346559958080205,0.2448559670781893
9,2.0508332971698984,2.127114271001561,0.24588477366255143
10,2.039968851184057,2.1178431770929094,0.24897119341563786
11,2.0329518909296715,2.1261586872822464,0.25
12,2.0322762442029214,2.1188956672333394,0.24588477366255143
13,2.0265533135942193,2.1199917215317363,0.25102880658436216
14,2.022596709984393,2.110192322252709,0.25411522633744854
15,2.0206650594049247,2.102518197333003,0.25
16,2.01605734450758,2.103545549766394,0.25617283950617287
17,2.007323911367369,2.0974790863386152,0.25925925925925924
18,2.00477786103556,2.097721641584311,0.2664609053497942
19,1.997578137177081,2.082302307288465,0.2623456790123457
20,1.9920989215866594,2.0807894198952144,0.26954732510288065
21,1.9677725291449177,2.02855850631992,0.3333333333333333
22,1.9200946260089717,2.0200868879249434,0.3405349794238683
23,1.9030826505550669,2.014444947396041,0.4228395061728395
24,1.890314676544883,2.010513035695494,0.4218106995884774
25,1.8831916643568307,2.0016181427494857,0.4269547325102881
26,1.8717355107472948,1.9830035722350756,0.4382716049382716
27,1.870438764903171,2.0150132516011934,0.4218106995884774
28,1.8633656127393738,1.9936041399920859,0.44135802469135804
29,1.863624235815253,1.9854169519323044,0.44753086419753085
30,1.8606609509996146,1.9985131628374442,0.44650205761316875
