epoch,train_ls,test_ls,test_acc
1,2.291752060254415,2.2736178896554704,0.11213991769547325
2,2.227957248687744,2.2066128301767653,0.25308641975308643
3,2.141657551129659,2.0752537704912233,0.31378600823045266
4,1.98426251411438,1.8991091126277122,0.32613168724279834
5,1.9195990959803264,1.8897619221988038,0.39609053497942387
6,1.8910664319992065,1.8690080056848473,0.39814814814814814
7,1.859399954477946,1.823365507532417,0.43209876543209874
8,1.8386468867460886,1.7962281254231316,0.41872427983539096
9,1.83265776236852,1.79197226524537,0.411522633744856
10,1.8229263603687287,1.8041646590785971,0.40329218106995884
11,1.8114481190840404,1.7859377528659601,0.41872427983539096
12,1.805310469865799,1.7792871318098327,0.43106995884773663
13,1.8051627635955811,1.7765827761204154,0.41872427983539096
14,1.7942384799321494,1.7605183221123837,0.43209876543209874
15,1.793848733107249,1.767905196504583,0.4454732510288066
16,1.786709628502528,1.7515148684505082,0.42901234567901236
17,1.783157350619634,1.7482690960935359,0.45781893004115226
18,1.7788942913214365,1.7520163100780037,0.4434156378600823
19,1.7765523672103882,1.7293303155803998,0.4588477366255144
20,1.7728197574615479,1.733440407793279,0.4588477366255144
21,1.7713826338450114,1.734305652678626,0.4609053497942387
22,1.768981929620107,1.7270161446429206,0.45164609053497945
23,1.764113873243332,1.723975028896344,0.47530864197530864
24,1.761107995112737,1.7212470691237185,0.4609053497942387
25,1.7622240165869394,1.7199917578678807,0.4732510288065844
26,2.0903463741143544,2.1971501419129074,0.25205761316872427
27,2.18242684006691,2.1314484657788717,0.25205761316872427
28,2.0927366852760314,1.9630454875559473,0.35288065843621397
29,1.887940196196238,1.8488819784956214,0.3425925925925926
30,1.8294129232565561,1.8172050751209137,0.37551440329218105
