,phrase,score,label
0,bipartite graph,0.8292870731960807,1
1,skip gram,0.664785374253812,1
2,ranked lists,0.6443812193427,1
3,semantic drift,0.6286392087833582,1
4,text corpora,0.6092567874343024,1
5,texas,0.6089943600133381,1
6,coarse grained,0.6071359661418579,1
7,california,0.6015134975452061,0
8,skip grams,0.6001597058804407,1
9,ranked list,0.5903166927867236,1
10,act,0.5740412205907496,0
11,free text,0.5631768655065,1
12,apr,0.5631653210277895,1
13,usa,0.5614472604314342,0
14,pubmed,0.5578911499028888,1
15,distributional similarity,0.5489581374014499,1
16,illinois,0.5441837145496425,0
17,set expansion,0.5380716198604337,1
18,ontario,0.5348467529457445,0
19,florida,0.5326410359907412,0
20,seed set,0.5276702184630294,1
21,acm,0.524164054791572,0
22,wu,0.5189310053494032,0
23,arizona,0.5181358961071372,0
24,wiki,0.5080624473278332,1
25,han,0.5050878757521934,0
26,semantic classes,0.5022927150664989,1
