epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
0,0.704319,0.5,0.423076923077,0.710648,0.53125,0.69387755102
1,0.678327,0.533333333333,0.695652173913,0.591443,0.6875,0.779005524862
2,0.609675,0.711111111111,0.769911504425,0.558243,0.8125,0.843137254902
3,0.576426,0.733333333333,0.703703703704,0.489302,0.80859375,0.831615120275
4,0.545866,0.744444444444,0.732558139535,0.5106,0.75390625,0.802507836991
5,0.513913,0.772222222222,0.791878172589,0.45414,0.78515625,0.822006472492
6,0.495608,0.766666666667,0.783505154639,0.476762,0.7734375,0.820987654321
7,0.458042,0.805555555556,0.830917874396,0.46459,0.7578125,0.802547770701
8,0.456011,0.805555555556,0.824120603015,0.421549,0.78125,0.825
9,0.378274,0.872222222222,0.879581151832,0.44214,0.77734375,0.815533980583
10,0.372354,0.844444444444,0.855670103093,0.407055,0.77734375,0.80412371134
11,0.353929,0.872222222222,0.879581151832,0.399609,0.8125,0.837837837838
12,0.331324,0.877777777778,0.887755102041,0.350523,0.8203125,0.846666666667
13,0.360363,0.827777777778,0.83422459893,0.38346,0.8515625,0.871621621622
14,0.292849,0.883333333333,0.890052356021,0.461961,0.78125,0.801418439716
15,0.305798,0.877777777778,0.884210526316,0.364602,0.86328125,0.854771784232
16,0.308758,0.883333333333,0.890052356021,0.372985,0.83984375,0.842911877395
17,0.321761,0.872222222222,0.880829015544,0.429779,0.78125,0.801418439716
18,0.298947,0.877777777778,0.884210526316,0.417244,0.828125,0.818181818182
19,0.339797,0.85,0.860103626943,0.429911,0.765625,0.761904761905
20,0.274886,0.9,0.907216494845,0.481709,0.80859375,0.817843866171
21,0.237372,0.927777777778,0.932642487047,0.438676,0.82421875,0.823529411765
22,0.235274,0.911111111111,0.917525773196,0.321956,0.89453125,0.893280632411
23,0.259854,0.883333333333,0.888888888889,0.467607,0.80859375,0.801619433198
24,0.202269,0.922222222222,0.923913043478,0.295124,0.87109375,0.884210526316
25,0.287552,0.866666666667,0.872340425532,0.373081,0.8359375,0.839694656489
26,0.264286,0.894444444444,0.901554404145,0.399385,0.82421875,0.847457627119
27,0.213631,0.911111111111,0.917525773196,0.394962,0.796875,0.810218978102
28,0.166901,0.944444444444,0.947916666667,0.410179,0.84375,0.852941176471
29,0.237654,0.9,0.909090909091,0.318287,0.890625,0.906666666667
