,phrase,score,label
0,natural language,0.7907894931703,1
1,domain specific,0.7413832473003199,1
2,named entity,0.6735493424635501,1
3,distant supervision,0.6275761944868499,1
4,lstm crf,0.5978807680713549,1
5,ablation experiments,0.5801755148674074,1
6,distantly supervised,0.5616130486374706,1
7,ncbi,0.5362222670208904,1
8,ner,0.5166987082557718,1
9,ram,0.5164294093454184,0
10,f1,0.5075613084805468,1
11,liu,0.5054259397488214,0
