epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
0,0.689444,0.509523809524,0.492610837438,0.667005,0.56640625,0.69918699187
1,0.609907,0.67619047619,0.767123287671,0.493326,0.89453125,0.895752895753
2,0.55175,0.747619047619,0.725388601036,0.430459,0.86328125,0.885245901639
3,0.470128,0.8,0.8125,0.432399,0.82421875,0.85342019544
4,0.420729,0.838095238095,0.852173913043,0.420167,0.78125,0.83908045977
5,0.378261,0.866666666667,0.875,0.425756,0.84765625,0.864111498258
6,0.319753,0.895238095238,0.901785714286,0.374256,0.8671875,0.88275862069
7,0.266937,0.92380952381,0.929203539823,0.294536,0.8515625,0.869863013699
8,0.226194,0.952380952381,0.955752212389,0.363928,0.8515625,0.8515625
9,0.181077,0.957142857143,0.96,0.30799,0.92578125,0.926070038911
10,0.147179,0.97619047619,0.977578475336,0.303948,0.8984375,0.899224806202
11,0.125563,0.985714285714,0.986547085202,0.39553,0.75390625,0.794788273616
12,0.0987253,0.990476190476,0.990990990991,0.40426,0.8359375,0.860927152318
13,0.0752594,0.995238095238,0.995515695067,0.422248,0.828125,0.867469879518
14,0.0648038,0.995238095238,0.995515695067,0.665925,0.76171875,0.818991097923
15,0.0587113,0.995238095238,0.995515695067,0.628424,0.8046875,0.860335195531
16,0.045938,0.995238095238,0.995515695067,0.732921,0.7734375,0.837078651685
17,0.0329579,0.995238095238,0.995515695067,0.746395,0.77734375,0.826747720365
18,0.0256111,1.0,1.0,0.916989,0.70703125,0.764890282132
19,0.0204126,1.0,1.0,0.79998,0.71875,0.779141104294
20,0.016756,1.0,1.0,0.848659,0.72265625,0.777429467085
21,0.0157728,1.0,1.0,0.969346,0.6796875,0.735483870968
22,0.0136837,1.0,1.0,0.971573,0.67578125,0.738170347003
23,0.0121509,1.0,1.0,0.693776,0.75,0.809523809524
24,0.00996934,1.0,1.0,0.67835,0.734375,0.797619047619
25,0.00986706,1.0,1.0,0.564115,0.83203125,0.862619808307
26,0.00931226,1.0,1.0,0.692282,0.8125,0.826086956522
27,0.00726339,1.0,1.0,0.813972,0.74609375,0.782608695652
28,0.00666442,1.0,1.0,0.847282,0.7421875,0.748091603053
29,0.00589358,1.0,1.0,0.751841,0.76953125,0.76862745098
30,0.00618117,1.0,1.0,0.702106,0.7734375,0.789855072464
31,0.00529073,1.0,1.0,0.86277,0.76171875,0.768060836502
32,0.00501054,1.0,1.0,0.878851,0.75390625,0.772563176895
33,0.00439183,1.0,1.0,0.819494,0.76953125,0.794425087108
34,0.00454967,1.0,1.0,0.861386,0.76953125,0.787003610108
35,0.00440269,1.0,1.0,0.915002,0.78515625,0.785992217899
36,0.00402668,1.0,1.0,0.838658,0.79296875,0.81660899654
37,0.003811,1.0,1.0,0.776797,0.81640625,0.838487972509
38,0.00374817,1.0,1.0,1.01748,0.7421875,0.751879699248
39,0.00381995,1.0,1.0,0.891373,0.765625,0.787234042553
40,0.00314466,1.0,1.0,1.06042,0.75,0.759398496241
41,0.00306243,1.0,1.0,1.00294,0.78125,0.791044776119
42,0.00304419,1.0,1.0,1.14826,0.75,0.78231292517
43,0.00300555,1.0,1.0,1.0594,0.76171875,0.790378006873
44,0.0026776,1.0,1.0,0.956494,0.77734375,0.8
45,0.00246257,1.0,1.0,1.09819,0.75390625,0.770909090909
46,0.00274861,1.0,1.0,1.03527,0.765625,0.795918367347
47,0.0025286,1.0,1.0,0.899335,0.80078125,0.808988764045
48,0.00238678,1.0,1.0,1.2175,0.734375,0.757142857143
49,0.00243603,1.0,1.0,1.13638,0.75,0.777777777778
50,0.00229513,1.0,1.0,0.870336,0.80859375,0.84142394822
51,0.00220051,1.0,1.0,0.839701,0.8203125,0.836879432624
52,0.00216753,1.0,1.0,1.41506,0.69921875,0.727915194346
53,0.00212543,1.0,1.0,1.08868,0.76953125,0.805280528053
54,0.00206652,1.0,1.0,1.06326,0.7734375,0.789855072464
55,0.00209158,1.0,1.0,0.967888,0.79296875,0.812720848057
56,0.00198234,1.0,1.0,1.34034,0.73828125,0.752767527675
57,0.00189748,1.0,1.0,1.1082,0.78515625,0.817275747508
58,0.00203949,1.0,1.0,1.09782,0.79296875,0.805860805861
59,0.00176831,1.0,1.0,1.14752,0.765625,0.802631578947
60,0.00197922,1.0,1.0,1.21284,0.76171875,0.774907749077
61,0.00180307,1.0,1.0,0.847144,0.8046875,0.826388888889
62,0.00179192,1.0,1.0,1.27763,0.75,0.766423357664
63,0.00175484,1.0,1.0,1.25647,0.75390625,0.780487804878
64,0.0019659,1.0,1.0,1.27967,0.73046875,0.762886597938
65,0.00179436,1.0,1.0,1.11794,0.79296875,0.805860805861
66,0.00181599,1.0,1.0,1.13026,0.7734375,0.8
67,0.00165097,1.0,1.0,1.11518,0.76953125,0.777358490566
68,0.00156344,1.0,1.0,1.09687,0.7734375,0.806666666667
69,0.00168596,1.0,1.0,1.06493,0.80078125,0.815884476534
70,0.00147246,1.0,1.0,0.920985,0.82421875,0.843205574913
71,0.0014861,1.0,1.0,1.15719,0.78515625,0.810996563574
72,0.00140082,1.0,1.0,1.38417,0.73046875,0.772277227723
73,0.00148952,1.0,1.0,1.08701,0.77734375,0.810631229236
74,0.00144396,1.0,1.0,1.29335,0.76171875,0.78445229682
75,0.00128095,1.0,1.0,1.33162,0.73828125,0.766550522648
76,0.00145015,1.0,1.0,1.20041,0.76953125,0.77566539924
77,0.00137796,1.0,1.0,1.38452,0.734375,0.742424242424
78,0.00130893,1.0,1.0,1.17361,0.78125,0.818181818182
79,0.00141228,1.0,1.0,1.08842,0.77734375,0.795698924731
80,0.00143801,1.0,1.0,1.17501,0.7734375,0.795774647887
81,0.00132619,1.0,1.0,1.21704,0.76953125,0.78853046595
82,0.00135739,1.0,1.0,0.965812,0.81640625,0.841750841751
83,0.00123484,1.0,1.0,0.776265,0.84375,0.864864864865
84,0.00132319,1.0,1.0,1.17862,0.77734375,0.784905660377
85,0.00132586,1.0,1.0,1.27989,0.75,0.762962962963
86,0.00128218,1.0,1.0,1.24515,0.75390625,0.772563176895
87,0.00137079,1.0,1.0,1.34372,0.75,0.776223776224
88,0.00144386,1.0,1.0,1.33558,0.74609375,0.778156996587
89,0.0011712,1.0,1.0,1.49284,0.7265625,0.7265625
90,0.00122241,1.0,1.0,1.00292,0.796875,0.798449612403
91,0.00122668,1.0,1.0,1.49113,0.7109375,0.704
92,0.00117707,1.0,1.0,1.18641,0.77734375,0.811881188119
93,0.00117035,1.0,1.0,1.37564,0.734375,0.755395683453
94,0.00124888,1.0,1.0,1.2776,0.7578125,0.766917293233
95,0.00116316,1.0,1.0,1.3816,0.734375,0.753623188406
96,0.00107253,1.0,1.0,1.10938,0.796875,0.821917808219
97,0.00110619,1.0,1.0,1.14696,0.79296875,0.795366795367
98,0.00108254,1.0,1.0,1.12583,0.7890625,0.805755395683
99,0.00112354,1.0,1.0,1.25609,0.77734375,0.80412371134
