rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
1/1/2000,0:12:05,137.7,-64.45,-1011.23,0.91,5.73,-2.11,0.15,34.5,-65.1
1/1/2000,0:12:05,153.32,-69.34,-990.72,3.11,3.31,-0.4,-1.2,33,-65.1
1/1/2000,0:12:05,136.72,-72.27,-1003.91,-0.31,-3.31,0.15,-0.6,32.85,-63.9
1/1/2000,0:12:05,129.39,-59.57,-978.52,2.86,1.64,0.42,-0.3,33.6,-64.2
1/1/2000,0:12:05,139.16,-70.8,-990.72,3.18,0.55,-1.76,0.6,33.15,-65.25
1/1/2000,0:12:05,132.81,-67.87,-1003.91,-1.14,7.64,2.03,-0.3,33.9,-64.65
1/1/2000,0:12:05,128.91,-64.45,-1022.95,1.22,-0.96,2.12,-0.15,32.25,-64.35
1/1/2000,0:12:05,51.27,-118.16,-989.26,-5.89,1.68,-1.9,-0.45,34.05,-65.1
1/1/2000,0:12:05,121.58,-78.12,-967.29,0.02,0.21,0.96,-1.05,33.6,-65.25
1/1/2000,0:12:06,176.27,-98.14,-1096.19,4.56,-0.64,0.32,-0.9,33.3,-64.8
1/1/2000,0:12:06,95.7,-25.39,-989.26,-1.79,1.89,-0.1,-0.6,34.65,-65.25
1/1/2000,0:12:06,127.44,-70.8,-1075.2,3.33,2.45,-2.27,-1.8,34.35,-65.7
1/1/2000,0:12:06,119.14,-39.55,-982.42,5.32,2.8,0,0,32.4,-63.45
1/1/2000,0:12:06,86.43,-71.29,-999.02,-1.39,1.14,3.27,-0.3,34.35,-65.7
1/1/2000,0:12:06,179.69,39.06,-956.54,-0.24,-4.46,1.56,-0.45,33,-64.8
1/1/2000,0:12:06,123.05,-69.34,-1020.02,3.33,0.28,0.62,-0.3,33.6,-65.25
1/1/2000,0:12:06,144.53,-70.31,-1037.6,4.09,-3.24,0.08,-0.6,34.35,-65.7
1/1/2000,0:12:06,150.39,-96.19,-1070.8,1.11,10.47,-1.21,-1.2,33,-64.05
1/1/2000,0:12:06,162.11,-71.29,-1021,4.22,-1.53,4.33,-1.05,33.6,-64.95
1/1/2000,0:12:07,184.08,-54.2,-1045.41,1.69,-0.72,3.23,-1.35,33.15,-64.2
1/1/2000,0:12:07,89.84,-114.26,-1003.91,-1.75,4.93,-2.06,-1.05,34.35,-65.25
1/1/2000,0:12:07,145.51,-78.12,-994.14,2.17,-3.73,0.02,-1.2,32.55,-64.35
1/1/2000,0:12:07,145.51,-114.75,-1013.67,-0.86,-1.65,-0.71,-0.6,33.9,-64.65
1/1/2000,0:12:07,122.56,-121.09,-1021,1.99,-1.25,1.25,-1.35,32.4,-63.9
