Room,Area,Height,VAVmin,VAVmax,Building,VAVrecommended
CENTER 101,3428,21.0,3500.0,7000.0,Center,100
CENTER 115,2143,21.0,1290.0,4300.0,Center,100
CENTER 119,2144,21.0,1290.0,4300.0,Center,100
GH 242,2956,,935.0,2325.0,GH,100
LEDDN AUD,1888,,4000.0,12000.0,LEDDN,100
PCYNH 106,2010,,450.0,1520.0,PCYNH,100
PETER 110,2933,,,,none,100
TATA 3201,2093,,1680.0,3200.0,none,100
TATA 2101,1274,,430.0,960.0,none,100
TATA2102,1291,,430.0,960.0,none,100
York 3306,1766,,870.0,1300.0,none,100
York 3406,1720,,1531.0,1531.0,none,100
York 4406,1691,,1500.0,1500.0,none,100
TATA 4401,1238,,,,none,100
TATA 5600,876,,420.0,840.0,none,100
101,100,10.0,100.0,1000.0,CENTER HA,2000
101,100,10.0,100.0,1000.0,CENTER HA,2000
