Original AAT Label,AAT,ABAT,APAT,ABPBTAT,APBPTAT,Support
Benign,0.8,0.9636363636363636,0.5818181818181818,0.9636363636363636,0.05454545454545454,55
Malware,0.9932584269662922,0.011235955056179775,0.9910112359550561,0.0022471910112359553,0.9932584269662922,445
Total,0.972,0.116,0.946,0.108,0.89,500
