,phrase,score
0,machine learning,0.8256853193381605
1,cross validation,0.6536624739587275
2,data sets,0.540199650081
3,roc,0.5335264681657865
4,auc,0.5259611847172955
5,ml,0.5215076171703721
6,discrimination,0.49341145554194227
7,fair,0.4608377345082203
8,maximization,0.4605569669938824
9,international,0.4496102075331336
10,processor,0.44590450821298516
11,trade,0.4379060663033505
12,maximum,0.43735347753594644
13,post,0.42400447538318997
14,risk,0.42261139280883214
15,adversarial,0.4156719035865047
16,equal,0.4124988789069018
17,probability,0.4116033743823611
18,credit,0.41063471965912235
19,data,0.4100003838033791
20,information,0.40907857735836434
21,group,0.4072413203234028
22,dominated,0.4016893695805737
23,research,0.39778744317123027
24,separation,0.3971900119880109
25,validation,0.3926454572235884
26,attribute,0.3897130445331578
27,pr,0.3878298336600408
28,model,0.3854200004377588
29,classification,0.38374359716505835
30,score,0.3831770419567919
31,criterion,0.38000859231528783
32,al,0.37881791394851794
33,meta,0.3778272717942351
34,optimizing,0.37728172280919653
35,decision,0.3747015117240879
36,learning,0.37237213929159296
37,fairness,0.3711859661865901
38,table,0.37045427563442873
39,default,0.36795699408326626
40,set,0.36782624991805374
41,models,0.35806732682886255
42,empirical,0.35788603689100823
43,scoring,0.35207507856381615
44,conference,0.35012016635823207
45,function,0.34399881082264927
46,processing,0.3436088181194971
47,profit,0.34038653909476035
48,impact,0.33870920816551486
49,disparate,0.33848985331046627
50,post processing,0.3375555254218
51,independence,0.33586537742454453
52,algorithm,0.33340194188619965
53,loss,0.32967288070824335
54,algorithmic,0.32861736838469335
55,term,0.3278747418961797
56,groups,0.3267946705036112
57,sets,0.32543967556353487
58,financial,0.3235933465689154
59,statistical,0.32355786140598997
60,literature,0.3215929265508579
61,unconstrained,0.3211364332745452
62,results,0.3206427921013302
63,base,0.3205715672295144
64,trade off,0.31898303277451995
65,expected,0.31842936780550085
66,performance,0.31807512314503306
67,averaged,0.31714697287856847
68,based,0.3128250867960294
69,prediction,0.31247319500397636
70,sensitive,0.30538747524338455
71,classifier,0.3050465034482853
72,previous,0.3046502527736397
73,opportunity,0.2959798030298179
74,rate,0.2925347462808858
75,positive,0.29244059169766223
76,processors,0.2915269767102925
77,correlation,0.29122237999345524
78,training,0.29007733185481693
79,class,0.289530794232793
80,measures,0.2814044933560979
81,customer,0.2811247553492311
82,figure,0.27872182318222544
83,high,0.27869113733146367
84,features,0.2783850272497078
85,applications,0.2770029781774366
86,parameters,0.2768128732949752
87,constraints,0.2765794003842278
88,criteria,0.2736093218097987
89,solutions,0.2708132977409165
90,cost,0.2705550160154897
91,accuracy,0.26872642131065844
92,section,0.2677943821674364
93,classifiers,0.2646576313859653
94,study,0.26425041559095686
95,metric,0.2624633246464694
96,pre,0.25553159167620126
97,method,0.2542242480218229
98,paper,0.25306069051424057
99,area,0.25152780622062143
100,methods,0.25026195692345043
101,goal,0.24973593349238668
102,specific,0.24799918941118076
103,equivalent,0.2472997639769529
104,number,0.24713131860207585
105,et al,0.24657153316419975
106,predictions,0.24603090589311055
107,catalog,0.24350123691011205
108,values,0.24306696012438478
109,decisions,0.23298501866555546
110,predicted,0.22881904875794684
111,parameter,0.22227430033069565
112,rates,0.21742579320202615
113,higher,0.21248042805611556
114,scores,0.21158170104301655
115,pipeline,0.20638565607906104
116,relaxation,0.1999202424841624
117,suitable,0.19752323848689296
118,e.g,0.19476086473787807
119,i.e,0.18644661526315714
120,x,0.1846735902966606
121,non,0.184570683717173
122,costs,0.17943829861216573
123,in,0.17567735326059666
124,l,0.1718593734528148
125,p,0.16810771613712794
126,d,0.15820547271211768
127,s,0.15631137174070414
128,m,0.15052227975171964
129,k,0.15032591841658888
130,c,0.14919692853974442
131,four,0.1461834000537249
132,t,0.1430287924187588
133,r,0.14198696428041566
134,b,0.13903623678736057
135,j,0.13159338162740214
136,the,0.13106638625383807
137,e,0.13006555042093104
138,|,0.1282957156034212
139,n,0.1274108656029321
140,on,0.1266966682075373
141,other,0.12571005281051895
142,1,0.12474755054825275
143,this,0.12299664864517319
144,for,0.12161606889660809
145,g,0.12098425327410746
146,second,0.1079288705599087
147,of,0.10493266787195134
148,if,0.10492956138206097
149,we,0.10408911444811503
150,given,0.10138654750798742
151,first,0.10037629841041398
152,et,0.09982734363785534
153,and,0.09953947014036661
154,these,0.0995059715005699
155,0,0.09829651150217583
156,a,0.09773256428756165
157,following,0.09622896679900018
158,while,0.09562807799896653
159,as,0.09515358263369435
160,however,0.09465392171614471
161,=,0.09367280936331109
162,one,0.09070231448698714
163,using,0.08952739882277735
164,at,0.08943771285855724
165,it,0.08683297814891397
166,such,0.0860497890837766
167,therefore,0.0849970453430711
168,based on,0.08468844783081587
169,an,0.08354431667230451
170,each,0.08305249429466058
171,good,0.08238291411173344
172,by,0.07995397292296583
173,under,0.0798089279915333
174,to,0.07964321073855286
175,with,0.07905689169561873
176,but,0.0782090658060085
177,also,0.07773666665679349
178,some,0.07700301585474909
179,all,0.07641211439634037
180,when,0.07579287350393199
181,best,0.07488655455967669
182,across,0.07423549336818366
183,more,0.07403797648308323
184,two,0.07402381857412062
185,2,0.07398739571167841
186,from,0.07274839706679435
187,19,0.07234250957586236
188,three,0.07196539573088057
189,4,0.07184492815361437
190,3,0.07147703148572175
191,2019,0.07146782113928314
192,5,0.0712770503569198
193,2016,0.06943948327142059
194,five,0.06925780609190181
195,better,0.06869767943083205
196,not,0.0675731764080483
197,over,0.06739143508062619
198,+,0.06668534976914513
199,8,0.06667860848272981
200,than,0.06612014914460496
201,between,0.06545678288866282
202,20,0.06455878394452697
203,different,0.0640942852619097
204,&,0.06336435786068402
205,14,0.06307066818410624
206,24,0.06294197469074322
207,or,0.06271482359401248
208,6,0.06262328892558906
209,2018,0.06233282413428752
210,only,0.062105321847896924
211,16,0.061841072102636896
212,2012,0.06139321760045
213,2017,0.06125220846090055
214,use,0.060964739691858165
215,9,0.060832486618760825
216,seven,0.059672473877551646
217,their,0.05953776372890772
218,where,0.05837499395915388
219,that,0.05696380095418721
220,is,0.056818855391899244
221,have,0.056125360614998614
222,15,0.05592430079192616
223,which,0.05583441702888687
224,are,0.05582202430736561
225,25,0.055789909296121
226,be,0.05558058786049094
227,can,0.05532408457196245
228,has,0.05515490490874397
229,17,0.05455076994946355
230,will,0.05266506671633621
231,the same,0.048377386929300006
232,= 1,0.0404089686384
233,performance of,0.013011924883099999
234,the separation,0.006286421291734153
235,the other,0.0024802600457607574
