epoch,train_ls,test_ls,test_acc
1,2.9952254428372362,2.7518443937959343,0.3125
2,2.628422672656473,2.5756395644155043,0.359375
3,2.5438066050730037,2.565549511333992,0.35290948275862066
4,2.458671108335896,2.428720981910311,0.3900862068965517
5,2.407481330147117,2.409169809571628,0.38469827586206895
6,2.3525961003078413,2.3693408760531196,0.40247844827586204
7,2.3462696694509155,2.377616384933735,0.39978448275862066
8,2.2859287323358233,2.2904117950077714,0.42726293103448276
9,2.2420180959251303,2.307904099595958,0.4234913793103448
10,2.2095641076820605,2.2465694608359503,0.42834051724137934
11,2.1888052644647753,2.307440755696132,0.421875
12,2.165716809776208,2.2601131899603484,0.4229525862068966
13,2.161594313613335,2.2501328978045234,0.42887931034482757
14,2.1338279104028137,2.2780561878763397,0.42564655172413796
15,2.1292159613621595,2.2512119535742134,0.43103448275862066
16,2.1018079028109113,2.23049218490206,0.4423491379310345
17,2.09439623714005,2.2082101414943565,0.44665948275862066
18,2.0682894196121477,2.2139339529234787,0.4418103448275862
19,2.0418309848196006,2.229902577811274,0.44288793103448276
20,2.0515749068219264,2.232415493192344,0.43211206896551724
21,2.027933962099542,2.2052809020568587,0.44773706896551724
22,2.0253424127726083,2.231248588397585,0.44288793103448276
23,2.0309207731050485,2.216010903490001,0.44127155172413796
24,2.0265094584149863,2.1724973485387604,0.4515086206896552
25,1.985500157646867,2.2219329517463158,0.44558189655172414
26,1.9817008319842457,2.1858545500656654,0.4482758620689655
27,1.995078586201811,2.169403382416429,0.45635775862068967
28,1.9619593262160797,2.270197800521193,0.4375
29,1.9633935416205246,2.193371536402867,0.4520474137931034
30,1.9584995226798652,2.235187696999517,0.4391163793103448
