followed,following
MI Debbie Stabenow,AK Lisa Murkowski
DE Christopher A. Coons,AK Lisa Murkowski
RI Jack Reed,AK Lisa Murkowski
HI Mazie K. Hirono,AK Lisa Murkowski
CA Dianne Feinstein,AK Lisa Murkowski
OK James Lankford,AK Lisa Murkowski
GA David Perdue,AK Lisa Murkowski
UT Mike Lee,AK Lisa Murkowski
VT Bernard Sanders,AK Lisa Murkowski
IL Richard J. Durbin,AK Lisa Murkowski
VA Tim Kaine,AK Lisa Murkowski
VA Mark R. Warner,AK Lisa Murkowski
NC Richard Burr,AK Lisa Murkowski
NJ Robert Menendez,AK Lisa Murkowski
OR Jeff Merkley,AK Lisa Murkowski
AL Richard C. Shelby,AK Lisa Murkowski
PA Patrick J. Toomey,AK Lisa Murkowski
OR Ron Wyden,AK Lisa Murkowski
SD John Thune,AK Lisa Murkowski
MO Roy Blunt,AK Lisa Murkowski
TN Lamar Alexander,AK Lisa Murkowski
MS Roger F. Wicker,AK Lisa Murkowski
TX John Cornyn,AK Lisa Murkowski
WY John Barrasso,AK Lisa Murkowski
ME Susan M. Collins,AK Lisa Murkowski
IA Chuck Grassley,AK Lisa Murkowski
LA Bill Cassidy,AK Dan Sullivan
AZ Kyrsten Sinema,AK Dan Sullivan
ND Kevin Cramer,AK Dan Sullivan
IN Mike Braun,AK Dan Sullivan
MN Amy Klobuchar,AK Dan Sullivan
MA Elizabeth Warren,AK Dan Sullivan
IN Todd Young,AK Dan Sullivan
DE Thomas R. Carper,AK Dan Sullivan
LA John Kennedy,AK Dan Sullivan
WI Tammy Baldwin,AK Dan Sullivan
SC Lindsey Graham,AK Dan Sullivan
PA Robert P. Casey Jr.,AK Dan Sullivan
VA Mark R. Warner,AK Dan Sullivan
IL Richard J. Durbin,AK Dan Sullivan
HI Mazie K. Hirono,AK Dan Sullivan
HI Brian Schatz,AK Dan Sullivan
MT Jon Tester,AK Dan Sullivan
CA Dianne Feinstein,AK Dan Sullivan
VT Patrick J. Leahy,AK Dan Sullivan
RI Sheldon Whitehouse,AK Dan Sullivan
RI Jack Reed,AK Dan Sullivan
MT Steve Daines,AK Dan Sullivan
MI Gary C. Peters,AK Dan Sullivan
KY Mitch McConnell,AK Dan Sullivan
ME Angus S. King Jr.,AK Dan Sullivan
OK James Lankford,AK Dan Sullivan
GA David Perdue,AK Dan Sullivan
SD Mike Rounds,AK Dan Sullivan
OK James M. Inhofe,AK Dan Sullivan
WV Joe Manchin III,AK Dan Sullivan
IA Joni Ernst,AK Dan Sullivan
WV Shelley Moore Capito,AK Dan Sullivan
AR Tom Cotton,AK Dan Sullivan
WI Ron Johnson,AK Dan Sullivan
IA Chuck Grassley,AK Dan Sullivan
CO Cory Gardner,AK Dan Sullivan
NE Ben Sasse,AK Dan Sullivan
NC Thom Tillis,AK Dan Sullivan
FL Marco Rubio,AK Dan Sullivan
NE Deb Fischer,AK Dan Sullivan
SC Tim Scott,AK Dan Sullivan
ID James E. Risch,AK Dan Sullivan
GA Johnny Isakson,AK Dan Sullivan
KS Pat Roberts,AK Dan Sullivan
KS Jerry Moran,AK Dan Sullivan
MO Roy Blunt,AK Dan Sullivan
SD John Thune,AK Dan Sullivan
MS Roger F. Wicker,AK Dan Sullivan
PA Patrick J. Toomey,AK Dan Sullivan
ID Mike Crapo,AK Dan Sullivan
NC Richard Burr,AK Dan Sullivan
AR John Boozman,AK Dan Sullivan
AL Richard C. Shelby,AK Dan Sullivan
ND John Hoeven,AK Dan Sullivan
WY John Barrasso,AK Dan Sullivan
TN Lamar Alexander,AK Dan Sullivan
OH Rob Portman,AK Dan Sullivan
TX John Cornyn,AK Dan Sullivan
ME Susan M. Collins,AK Dan Sullivan
AK Lisa Murkowski,AK Dan Sullivan
UT Mike Lee,AK Dan Sullivan
TX Ted Cruz,AK Dan Sullivan
KY Rand Paul,AK Dan Sullivan
UT Mitt Romney,AL Doug Jones
WV Shelley Moore Capito,AL Doug Jones
TN Lamar Alexander,AL Doug Jones
VA Tim Kaine,AL Doug Jones
MN Amy Klobuchar,AL Doug Jones
VT Bernard Sanders,AL Doug Jones
RI Jack Reed,AL Doug Jones
HI Brian Schatz,AL Doug Jones
WI Tammy Baldwin,AL Doug Jones
OK James Lankford,AL Doug Jones
PA Patrick J. Toomey,AL Doug Jones
PA Robert P. Casey Jr.,AL Doug Jones
HI Mazie K. Hirono,AL Doug Jones
VT Patrick J. Leahy,AL Doug Jones
DE Christopher A. Coons,AL Doug Jones
SD Mike Rounds,AL Doug Jones
AK Lisa Murkowski,AL Doug Jones
ME Susan M. Collins,AL Doug Jones
ME Angus S. King Jr.,AL Doug Jones
CA Kamala D. Harris,AL Doug Jones
NJ Robert Menendez,AL Doug Jones
MA Edward J. Markey,AL Doug Jones
MD Benjamin L. Cardin,AL Doug Jones
OH Sherrod Brown,AL Doug Jones
MI Debbie Stabenow,AL Doug Jones
MI Gary C. Peters,AL Doug Jones
CA Dianne Feinstein,AL Doug Jones
CO Michael F. Bennet,AL Doug Jones
MD Chris Van Hollen,AL Doug Jones
RI Sheldon Whitehouse,AL Doug Jones
LA John Kennedy,AL Doug Jones
SC Tim Scott,AL Doug Jones
NM Martin Heinrich,AL Doug Jones
ID Mike Crapo,AL Doug Jones
WV Joe Manchin III,AL Doug Jones
NV Catherine Cortez Masto,AL Doug Jones
MN Tina Smith,AL Doug Jones
DE Thomas R. Carper,AL Doug Jones
VA Mark R. Warner,AL Doug Jones
GA David Perdue,AL Doug Jones
KY Mitch McConnell,AL Doug Jones
CT Richard Blumenthal,AL Doug Jones
IL Tammy Duckworth,AL Doug Jones
IL Richard J. Durbin,AL Doug Jones
OR Ron Wyden,AL Doug Jones
WA Patty Murray,AL Doug Jones
OR Jeff Merkley,AL Doug Jones
NM Tom Udall,AL Doug Jones
NH Jeanne Shaheen,AL Doug Jones
WA Maria Cantwell,AL Doug Jones
MT Jon Tester,AL Doug Jones
MA Elizabeth Warren,AL Doug Jones
NJ Cory A. Booker,AL Doug Jones
AL Richard C. Shelby,AL Doug Jones
SC Lindsey Graham,AL Richard C. Shelby
ND Kevin Cramer,AL Richard C. Shelby
IN Todd Young,AL Richard C. Shelby
IN Mike Braun,AL Richard C. Shelby
UT Mitt Romney,AL Richard C. Shelby
FL Rick Scott,AL Richard C. Shelby
LA Bill Cassidy,AL Richard C. Shelby
MD Chris Van Hollen,AL Richard C. Shelby
WI Tammy Baldwin,AL Richard C. Shelby
HI Brian Schatz,AL Richard C. Shelby
DE Christopher A. Coons,AL Richard C. Shelby
NH Jeanne Shaheen,AL Richard C. Shelby
MT Jon Tester,AL Richard C. Shelby
IL Richard J. Durbin,AL Richard C. Shelby
CA Dianne Feinstein,AL Richard C. Shelby
WA Patty Murray,AL Richard C. Shelby
LA John Kennedy,AL Richard C. Shelby
MT Steve Daines,AL Richard C. Shelby
MS Cindy Hyde-Smith,AL Richard C. Shelby
AL Doug Jones,AL Richard C. Shelby
WV Shelley Moore Capito,AL Richard C. Shelby
ID James E. Risch,AL Richard C. Shelby
WV Joe Manchin III,AL Richard C. Shelby
NE Deb Fischer,AL Richard C. Shelby
RI Jack Reed,AL Richard C. Shelby
ND John Hoeven,AL Richard C. Shelby
SC Tim Scott,AL Richard C. Shelby
OK James Lankford,AL Richard C. Shelby
CO Cory Gardner,AL Richard C. Shelby
AR Tom Cotton,AL Richard C. Shelby
NE Ben Sasse,AL Richard C. Shelby
IA Joni Ernst,AL Richard C. Shelby
GA David Perdue,AL Richard C. Shelby
NC Thom Tillis,AL Richard C. Shelby
KY Mitch McConnell,AL Richard C. Shelby
TX Ted Cruz,AL Richard C. Shelby
OH Sherrod Brown,AL Richard C. Shelby
VT Patrick J. Leahy,AL Richard C. Shelby
OH Rob Portman,AL Richard C. Shelby
SD John Thune,AL Richard C. Shelby
ID Mike Crapo,AL Richard C. Shelby
OR Jeff Merkley,AL Richard C. Shelby
FL Marco Rubio,AL Richard C. Shelby
NJ Robert Menendez,AL Richard C. Shelby
MS Roger F. Wicker,AL Richard C. Shelby
PA Patrick J. Toomey,AL Richard C. Shelby
KY Rand Paul,AL Richard C. Shelby
AK Lisa Murkowski,AL Richard C. Shelby
KS Jerry Moran,AL Richard C. Shelby
UT Mike Lee,AL Richard C. Shelby
WI Ron Johnson,AL Richard C. Shelby
GA Johnny Isakson,AL Richard C. Shelby
IA Chuck Grassley,AL Richard C. Shelby
NC Richard Burr,AL Richard C. Shelby
AR John Boozman,AL Richard C. Shelby
MO Roy Blunt,AL Richard C. Shelby
KS Pat Roberts,AL Richard C. Shelby
OK James M. Inhofe,AL Richard C. Shelby
TN Lamar Alexander,AL Richard C. Shelby
WY John Barrasso,AL Richard C. Shelby
ME Susan M. Collins,AL Richard C. Shelby
TX John Cornyn,AL Richard C. Shelby
MT Jon Tester,AR John Boozman
IN Todd Young,AR John Boozman
IN Mike Braun,AR John Boozman
MS Cindy Hyde-Smith,AR John Boozman
ME Angus S. King Jr.,AR John Boozman
TN Lamar Alexander,AR John Boozman
ME Susan M. Collins,AR John Boozman
AL Richard C. Shelby,AR John Boozman
NC Richard Burr,AR John Boozman
KY Mitch McConnell,AR John Boozman
SC Tim Scott,AR John Boozman
AK Lisa Murkowski,AR John Boozman
OK James Lankford,AR John Boozman
MS Roger F. Wicker,AR John Boozman
CO Cory Gardner,AR John Boozman
NE Deb Fischer,AR John Boozman
OH Rob Portman,AR John Boozman
GA Johnny Isakson,AR John Boozman
IA Joni Ernst,AR John Boozman
AK Dan Sullivan,AR John Boozman
SD Mike Rounds,AR John Boozman
NE Ben Sasse,AR John Boozman
TX John Cornyn,AR John Boozman
WV Joe Manchin III,AR John Boozman
MT Steve Daines,AR John Boozman
NC Thom Tillis,AR John Boozman
GA David Perdue,AR John Boozman
SD John Thune,AR John Boozman
WY John Barrasso,AR John Boozman
DE Thomas R. Carper,AR John Boozman
WI Ron Johnson,AR John Boozman
AR Tom Cotton,AR John Boozman
ND John Hoeven,AR John Boozman
IA Chuck Grassley,AR John Boozman
PA Patrick J. Toomey,AR John Boozman
ID Mike Crapo,AR John Boozman
KS Jerry Moran,AR John Boozman
OK James M. Inhofe,AR John Boozman
MO Roy Blunt,AR John Boozman
KY Mitch McConnell,AR Tom Cotton
SD Mike Rounds,AR Tom Cotton
MT Steve Daines,AR Tom Cotton
AK Dan Sullivan,AR Tom Cotton
UT Mike Lee,AR Tom Cotton
IA Joni Ernst,AR Tom Cotton
PA Patrick J. Toomey,AR Tom Cotton
NC Thom Tillis,AR Tom Cotton
SD John Thune,AR Tom Cotton
AL Richard C. Shelby,AR Tom Cotton
SC Tim Scott,AR Tom Cotton
NE Ben Sasse,AR Tom Cotton
FL Marco Rubio,AR Tom Cotton
ID James E. Risch,AR Tom Cotton
GA David Perdue,AR Tom Cotton
OK James Lankford,AR Tom Cotton
WI Ron Johnson,AR Tom Cotton
GA Johnny Isakson,AR Tom Cotton
ND John Hoeven,AR Tom Cotton
IA Chuck Grassley,AR Tom Cotton
CO Cory Gardner,AR Tom Cotton
NE Deb Fischer,AR Tom Cotton
ID Mike Crapo,AR Tom Cotton
WV Shelley Moore Capito,AR Tom Cotton
NC Richard Burr,AR Tom Cotton
MO Roy Blunt,AR Tom Cotton
WY John Barrasso,AR Tom Cotton
TX John Cornyn,AR Tom Cotton
ME Susan M. Collins,AR Tom Cotton
OH Rob Portman,AR Tom Cotton
MS Roger F. Wicker,AR Tom Cotton
TN Lamar Alexander,AR Tom Cotton
TX Ted Cruz,AR Tom Cotton
KY Rand Paul,AR Tom Cotton
KS Jerry Moran,AR Tom Cotton
AR John Boozman,AR Tom Cotton
LA Bill Cassidy,AZ Kyrsten Sinema
NV Jacky Rosen,AZ Kyrsten Sinema
NV Catherine Cortez Masto,AZ Kyrsten Sinema
LA John Kennedy,AZ Kyrsten Sinema
NH Margaret Wood Hassan,AZ Kyrsten Sinema
IA Joni Ernst,AZ Kyrsten Sinema
NE Ben Sasse,AZ Kyrsten Sinema
MI Gary C. Peters,AZ Kyrsten Sinema
SD Mike Rounds,AZ Kyrsten Sinema
AK Dan Sullivan,AZ Kyrsten Sinema
NC Thom Tillis,AZ Kyrsten Sinema
GA David Perdue,AZ Kyrsten Sinema
MT Jon Tester,AZ Kyrsten Sinema
AR Tom Cotton,AZ Kyrsten Sinema
RI Sheldon Whitehouse,AZ Kyrsten Sinema
MA Elizabeth Warren,AZ Kyrsten Sinema
HI Brian Schatz,AZ Kyrsten Sinema
OH Rob Portman,AZ Kyrsten Sinema
WI Tammy Baldwin,AZ Kyrsten Sinema
IL Tammy Duckworth,AZ Kyrsten Sinema
AL Richard C. Shelby,AZ Kyrsten Sinema
TN Lamar Alexander,AZ Kyrsten Sinema
KS Pat Roberts,AZ Kyrsten Sinema
NM Martin Heinrich,AZ Kyrsten Sinema
OK James M. Inhofe,AZ Kyrsten Sinema
MI Debbie Stabenow,AZ Kyrsten Sinema
UT Mike Lee,AZ Kyrsten Sinema
ID James E. Risch,AZ Kyrsten Sinema
WI Ron Johnson,AZ Kyrsten Sinema
WV Joe Manchin III,AZ Kyrsten Sinema
CA Dianne Feinstein,AZ Kyrsten Sinema
VT Patrick J. Leahy,AZ Kyrsten Sinema
WA Maria Cantwell,AZ Kyrsten Sinema
TX Ted Cruz,AZ Kyrsten Sinema
PA Robert P. Casey Jr.,AZ Kyrsten Sinema
VT Bernard Sanders,AZ Kyrsten Sinema
IL Richard J. Durbin,AZ Kyrsten Sinema
ME Susan M. Collins,AZ Kyrsten Sinema
ID Mike Crapo,AZ Kyrsten Sinema
TX John Cornyn,AZ Kyrsten Sinema
NE Deb Fischer,AZ Kyrsten Sinema
PA Patrick J. Toomey,AZ Kyrsten Sinema
ME Angus S. King Jr.,AZ Kyrsten Sinema
ND John Hoeven,AZ Kyrsten Sinema
NH Jeanne Shaheen,AZ Kyrsten Sinema
CT Richard Blumenthal,AZ Kyrsten Sinema
CO Michael F. Bennet,AZ Kyrsten Sinema
AK Lisa Murkowski,AZ Kyrsten Sinema
WY John Barrasso,AZ Kyrsten Sinema
OR Ron Wyden,AZ Kyrsten Sinema
GA Johnny Isakson,AZ Kyrsten Sinema
DE Thomas R. Carper,AZ Kyrsten Sinema
DE Christopher A. Coons,AZ Kyrsten Sinema
MS Roger F. Wicker,AZ Kyrsten Sinema
NM Tom Udall,AZ Kyrsten Sinema
OR Jeff Merkley,AZ Kyrsten Sinema
VA Tim Kaine,AZ Kyrsten Sinema
SD John Thune,AZ Kyrsten Sinema
WA Patty Murray,AZ Kyrsten Sinema
RI Jack Reed,AZ Kyrsten Sinema
KY Rand Paul,AZ Kyrsten Sinema
MD Benjamin L. Cardin,AZ Kyrsten Sinema
CO Cory Gardner,AZ Kyrsten Sinema
MT Steve Daines,AZ Kyrsten Sinema
NC Richard Burr,AZ Kyrsten Sinema
IN Todd Young,AZ Kyrsten Sinema
KS Jerry Moran,AZ Kyrsten Sinema
HI Mazie K. Hirono,AZ Kyrsten Sinema
TN Marsha Blackburn,AZ Kyrsten Sinema
IA Chuck Grassley,AZ Kyrsten Sinema
WV Shelley Moore Capito,AZ Kyrsten Sinema
NJ Robert Menendez,AZ Kyrsten Sinema
VA Mark R. Warner,AZ Kyrsten Sinema
OH Sherrod Brown,AZ Kyrsten Sinema
ND Kevin Cramer,AZ Kyrsten Sinema
SC Tim Scott,AZ Kyrsten Sinema
AR John Boozman,AZ Kyrsten Sinema
MO Roy Blunt,AZ Kyrsten Sinema
MA Edward J. Markey,AZ Kyrsten Sinema
OK James Lankford,AZ Kyrsten Sinema
MD Chris Van Hollen,AZ Kyrsten Sinema
AZ Kyrsten Sinema,CA Dianne Feinstein
NV Jacky Rosen,CA Dianne Feinstein
MN Amy Klobuchar,CA Dianne Feinstein
AL Doug Jones,CA Dianne Feinstein
MN Tina Smith,CA Dianne Feinstein
MD Chris Van Hollen,CA Dianne Feinstein
IL Tammy Duckworth,CA Dianne Feinstein
NH Margaret Wood Hassan,CA Dianne Feinstein
MI Gary C. Peters,CA Dianne Feinstein
NV Catherine Cortez Masto,CA Dianne Feinstein
MO Roy Blunt,CA Dianne Feinstein
KS Pat Roberts,CA Dianne Feinstein
KS Jerry Moran,CA Dianne Feinstein
GA David Perdue,CA Dianne Feinstein
AR John Boozman,CA Dianne Feinstein
VA Tim Kaine,CA Dianne Feinstein
GA Johnny Isakson,CA Dianne Feinstein
NC Thom Tillis,CA Dianne Feinstein
OH Rob Portman,CA Dianne Feinstein
ID Mike Crapo,CA Dianne Feinstein
SD John Thune,CA Dianne Feinstein
WI Ron Johnson,CA Dianne Feinstein
ID James E. Risch,CA Dianne Feinstein
WY John Barrasso,CA Dianne Feinstein
ND John Hoeven,CA Dianne Feinstein
MS Roger F. Wicker,CA Dianne Feinstein
NE Deb Fischer,CA Dianne Feinstein
NC Richard Burr,CA Dianne Feinstein
NM Martin Heinrich,CA Dianne Feinstein
HI Mazie K. Hirono,CA Dianne Feinstein
MA Elizabeth Warren,CA Dianne Feinstein
WI Tammy Baldwin,CA Dianne Feinstein
ME Angus S. King Jr.,CA Dianne Feinstein
NH Jeanne Shaheen,CA Dianne Feinstein
WA Maria Cantwell,CA Dianne Feinstein
RI Jack Reed,CA Dianne Feinstein
IA Chuck Grassley,CA Dianne Feinstein
TN Lamar Alexander,CA Dianne Feinstein
DE Thomas R. Carper,CA Dianne Feinstein
VA Mark R. Warner,CA Dianne Feinstein
PA Robert P. Casey Jr.,CA Dianne Feinstein
VT Bernard Sanders,CA Dianne Feinstein
OR Ron Wyden,CA Dianne Feinstein
NM Tom Udall,CA Dianne Feinstein
NJ Robert Menendez,CA Dianne Feinstein
RI Sheldon Whitehouse,CA Dianne Feinstein
WV Joe Manchin III,CA Dianne Feinstein
MD Benjamin L. Cardin,CA Dianne Feinstein
VT Patrick J. Leahy,CA Dianne Feinstein
CT Richard Blumenthal,CA Dianne Feinstein
OH Sherrod Brown,CA Dianne Feinstein
OR Jeff Merkley,CA Dianne Feinstein
IL Richard J. Durbin,CA Dianne Feinstein
CO Michael F. Bennet,CA Dianne Feinstein
AK Lisa Murkowski,CA Dianne Feinstein
ME Susan M. Collins,CA Dianne Feinstein
MI Debbie Stabenow,CA Dianne Feinstein
DE Christopher A. Coons,CA Dianne Feinstein
WA Patty Murray,CA Dianne Feinstein
MD Benjamin L. Cardin,CA Kamala D. Harris
DE Christopher A. Coons,CA Kamala D. Harris
DE Thomas R. Carper,CA Kamala D. Harris
CT Richard Blumenthal,CA Kamala D. Harris
VA Tim Kaine,CA Kamala D. Harris
OR Jeff Merkley,CA Kamala D. Harris
IL Tammy Duckworth,CA Kamala D. Harris
MA Elizabeth Warren,CA Kamala D. Harris
CA Dianne Feinstein,CA Kamala D. Harris
AZ Kyrsten Sinema,CO Michael F. Bennet
MN Amy Klobuchar,CO Michael F. Bennet
AL Doug Jones,CO Michael F. Bennet
MN Tina Smith,CO Michael F. Bennet
DE Christopher A. Coons,CO Michael F. Bennet
MD Chris Van Hollen,CO Michael F. Bennet
MA Edward J. Markey,CO Michael F. Bennet
NM Tom Udall,CO Michael F. Bennet
MD Benjamin L. Cardin,CO Michael F. Bennet
NH Jeanne Shaheen,CO Michael F. Bennet
WA Maria Cantwell,CO Michael F. Bennet
