followed,following
TX John Cornyn,CT Richard Blumenthal
OH Rob Portman,CT Richard Blumenthal
RI Jack Reed,CT Richard Blumenthal
NM Tom Udall,CT Richard Blumenthal
WA Patty Murray,CT Richard Blumenthal
DE Christopher A. Coons,CT Richard Blumenthal
PA Robert P. Casey Jr.,CT Richard Blumenthal
VT Patrick J. Leahy,CT Richard Blumenthal
MD Benjamin L. Cardin,CT Richard Blumenthal
NH Jeanne Shaheen,CT Richard Blumenthal
VT Bernard Sanders,CT Richard Blumenthal
OR Jeff Merkley,CT Richard Blumenthal
RI Sheldon Whitehouse,CT Richard Blumenthal
IL Richard J. Durbin,CT Richard Blumenthal
OH Sherrod Brown,CT Richard Blumenthal
VA Mark R. Warner,CT Richard Blumenthal
CO Cory Gardner,DE Thomas R. Carper
UT Mike Lee,DE Thomas R. Carper
AL Richard C. Shelby,DE Thomas R. Carper
ND John Hoeven,DE Thomas R. Carper
LA Bill Cassidy,DE Thomas R. Carper
TX John Cornyn,DE Thomas R. Carper
IA Chuck Grassley,DE Thomas R. Carper
IN Mike Braun,DE Thomas R. Carper
AZ Kyrsten Sinema,DE Thomas R. Carper
NV Jacky Rosen,DE Thomas R. Carper
ND Kevin Cramer,DE Thomas R. Carper
LA John Kennedy,DE Thomas R. Carper
UT Mitt Romney,DE Thomas R. Carper
AL Doug Jones,DE Thomas R. Carper
MN Tina Smith,DE Thomas R. Carper
NJ Cory A. Booker,DE Thomas R. Carper
IA Joni Ernst,DE Thomas R. Carper
AK Dan Sullivan,DE Thomas R. Carper
GA David Perdue,DE Thomas R. Carper
GA Johnny Isakson,DE Thomas R. Carper
MD Chris Van Hollen,DE Thomas R. Carper
IL Tammy Duckworth,DE Thomas R. Carper
CA Kamala D. Harris,DE Thomas R. Carper
NH Margaret Wood Hassan,DE Thomas R. Carper
NV Catherine Cortez Masto,DE Thomas R. Carper
SD Mike Rounds,DE Thomas R. Carper
NC Thom Tillis,DE Thomas R. Carper
ID Mike Crapo,DE Thomas R. Carper
AR John Boozman,DE Thomas R. Carper
WV Shelley Moore Capito,DE Thomas R. Carper
TN Lamar Alexander,DE Thomas R. Carper
AK Lisa Murkowski,DE Thomas R. Carper
OH Rob Portman,DE Thomas R. Carper
NE Deb Fischer,DE Thomas R. Carper
SC Tim Scott,DE Thomas R. Carper
SD John Thune,DE Thomas R. Carper
WY John Barrasso,DE Thomas R. Carper
MO Roy Blunt,DE Thomas R. Carper
KS Jerry Moran,DE Thomas R. Carper
MS Roger F. Wicker,DE Thomas R. Carper
NC Richard Burr,DE Thomas R. Carper
HI Brian Schatz,DE Thomas R. Carper
NM Martin Heinrich,DE Thomas R. Carper
WI Tammy Baldwin,DE Thomas R. Carper
ME Angus S. King Jr.,DE Thomas R. Carper
MT Jon Tester,DE Thomas R. Carper
VA Tim Kaine,DE Thomas R. Carper
HI Mazie K. Hirono,DE Thomas R. Carper
MA Edward J. Markey,DE Thomas R. Carper
OK James M. Inhofe,DE Thomas R. Carper
MI Gary C. Peters,DE Thomas R. Carper
OK James Lankford,DE Thomas R. Carper
MA Elizabeth Warren,DE Thomas R. Carper
WI Ron Johnson,DE Thomas R. Carper
RI Jack Reed,DE Thomas R. Carper
KS Pat Roberts,DE Thomas R. Carper
WA Patty Murray,DE Thomas R. Carper
CA Dianne Feinstein,DE Thomas R. Carper
WA Maria Cantwell,DE Thomas R. Carper
VT Bernard Sanders,DE Thomas R. Carper
CT Richard Blumenthal,DE Thomas R. Carper
PA Patrick J. Toomey,DE Thomas R. Carper
NH Jeanne Shaheen,DE Thomas R. Carper
VT Patrick J. Leahy,DE Thomas R. Carper
IL Richard J. Durbin,DE Thomas R. Carper
OH Sherrod Brown,DE Thomas R. Carper
WV Joe Manchin III,DE Thomas R. Carper
OR Jeff Merkley,DE Thomas R. Carper
MI Debbie Stabenow,DE Thomas R. Carper
PA Robert P. Casey Jr.,DE Thomas R. Carper
NJ Robert Menendez,DE Thomas R. Carper
OR Ron Wyden,DE Thomas R. Carper
MD Benjamin L. Cardin,DE Thomas R. Carper
ME Susan M. Collins,DE Thomas R. Carper
RI Sheldon Whitehouse,DE Thomas R. Carper
VA Mark R. Warner,DE Thomas R. Carper
CO Michael F. Bennet,DE Thomas R. Carper
NM Tom Udall,DE Thomas R. Carper
DE Christopher A. Coons,DE Thomas R. Carper
IN Todd Young,DE Christopher A. Coons
MN Amy Klobuchar,DE Christopher A. Coons
IN Mike Braun,DE Christopher A. Coons
AZ Kyrsten Sinema,DE Christopher A. Coons
NV Jacky Rosen,DE Christopher A. Coons
FL Rick Scott,DE Christopher A. Coons
UT Mitt Romney,DE Christopher A. Coons
CA Kamala D. Harris,DE Christopher A. Coons
AL Doug Jones,DE Christopher A. Coons
MN Tina Smith,DE Christopher A. Coons
OK James Lankford,DE Christopher A. Coons
LA John Kennedy,DE Christopher A. Coons
SD Mike Rounds,DE Christopher A. Coons
MT Jon Tester,DE Christopher A. Coons
NJ Cory A. Booker,DE Christopher A. Coons
IL Tammy Duckworth,DE Christopher A. Coons
NH Margaret Wood Hassan,DE Christopher A. Coons
MI Gary C. Peters,DE Christopher A. Coons
UT Mike Lee,DE Christopher A. Coons
NV Catherine Cortez Masto,DE Christopher A. Coons
MD Chris Van Hollen,DE Christopher A. Coons
MA Elizabeth Warren,DE Christopher A. Coons
ID James E. Risch,DE Christopher A. Coons
PA Patrick J. Toomey,DE Christopher A. Coons
KS Pat Roberts,DE Christopher A. Coons
OH Rob Portman,DE Christopher A. Coons
MS Roger F. Wicker,DE Christopher A. Coons
AK Lisa Murkowski,DE Christopher A. Coons
ND John Hoeven,DE Christopher A. Coons
AL Richard C. Shelby,DE Christopher A. Coons
NC Richard Burr,DE Christopher A. Coons
MO Roy Blunt,DE Christopher A. Coons
TN Lamar Alexander,DE Christopher A. Coons
NE Deb Fischer,DE Christopher A. Coons
WY John Barrasso,DE Christopher A. Coons
HI Brian Schatz,DE Christopher A. Coons
NM Martin Heinrich,DE Christopher A. Coons
ME Angus S. King Jr.,DE Christopher A. Coons
NC Thom Tillis,DE Christopher A. Coons
AR John Boozman,DE Christopher A. Coons
GA Johnny Isakson,DE Christopher A. Coons
RI Jack Reed,DE Christopher A. Coons
HI Mazie K. Hirono,DE Christopher A. Coons
WA Maria Cantwell,DE Christopher A. Coons
NY Charles E. Schumer,DE Christopher A. Coons
WI Tammy Baldwin,DE Christopher A. Coons
WV Joe Manchin III,DE Christopher A. Coons
SC Tim Scott,DE Christopher A. Coons
CA Dianne Feinstein,DE Christopher A. Coons
KS Jerry Moran,DE Christopher A. Coons
WA Patty Murray,DE Christopher A. Coons
ID Mike Crapo,DE Christopher A. Coons
IL Richard J. Durbin,DE Christopher A. Coons
CO Michael F. Bennet,DE Christopher A. Coons
TX John Cornyn,DE Christopher A. Coons
KY Rand Paul,DE Christopher A. Coons
PA Robert P. Casey Jr.,DE Christopher A. Coons
SD John Thune,DE Christopher A. Coons
RI Sheldon Whitehouse,DE Christopher A. Coons
WI Ron Johnson,DE Christopher A. Coons
CT Richard Blumenthal,DE Christopher A. Coons
OR Ron Wyden,DE Christopher A. Coons
NH Jeanne Shaheen,DE Christopher A. Coons
VT Patrick J. Leahy,DE Christopher A. Coons
IA Chuck Grassley,DE Christopher A. Coons
DE Thomas R. Carper,DE Christopher A. Coons
VA Tim Kaine,DE Christopher A. Coons
NM Tom Udall,DE Christopher A. Coons
MI Debbie Stabenow,DE Christopher A. Coons
MD Benjamin L. Cardin,DE Christopher A. Coons
NJ Robert Menendez,DE Christopher A. Coons
OR Jeff Merkley,DE Christopher A. Coons
VT Bernard Sanders,DE Christopher A. Coons
VA Mark R. Warner,DE Christopher A. Coons
OH Sherrod Brown,DE Christopher A. Coons
ME Susan M. Collins,DE Christopher A. Coons
KY Mitch McConnell,FL Marco Rubio
NC Thom Tillis,FL Marco Rubio
SD Mike Rounds,FL Marco Rubio
LA John Kennedy,FL Marco Rubio
IN Todd Young,FL Marco Rubio
OK James M. Inhofe,FL Marco Rubio
OK James Lankford,FL Marco Rubio
GA David Perdue,FL Marco Rubio
ID James E. Risch,FL Marco Rubio
NE Ben Sasse,FL Marco Rubio
AK Dan Sullivan,FL Marco Rubio
CO Cory Gardner,FL Marco Rubio
NE Deb Fischer,FL Marco Rubio
IA Joni Ernst,FL Marco Rubio
MT Steve Daines,FL Marco Rubio
TX Ted Cruz,FL Marco Rubio
AR Tom Cotton,FL Marco Rubio
WV Shelley Moore Capito,FL Marco Rubio
GA Johnny Isakson,FL Marco Rubio
ND John Hoeven,FL Marco Rubio
SC Tim Scott,FL Marco Rubio
FL Rick Scott,FL Marco Rubio
MS Roger F. Wicker,FL Marco Rubio
PA Patrick J. Toomey,FL Marco Rubio
AL Richard C. Shelby,FL Marco Rubio
KS Pat Roberts,FL Marco Rubio
KY Rand Paul,FL Marco Rubio
AK Lisa Murkowski,FL Marco Rubio
UT Mike Lee,FL Marco Rubio
WI Ron Johnson,FL Marco Rubio
IA Chuck Grassley,FL Marco Rubio
NC Richard Burr,FL Marco Rubio
MO Roy Blunt,FL Marco Rubio
WY John Barrasso,FL Marco Rubio
TN Lamar Alexander,FL Marco Rubio
VT Patrick J. Leahy,FL Marco Rubio
ID Mike Crapo,FL Marco Rubio
KS Jerry Moran,FL Marco Rubio
ME Susan M. Collins,FL Marco Rubio
TX John Cornyn,FL Marco Rubio
AR John Boozman,FL Marco Rubio
NJ Robert Menendez,FL Marco Rubio
OH Rob Portman,FL Marco Rubio
SD John Thune,FL Marco Rubio
WY John Barrasso,FL Rick Scott
WV Joe Manchin III,FL Rick Scott
VA Mark R. Warner,FL Rick Scott
VT Bernard Sanders,FL Rick Scott
UT Mike Lee,FL Rick Scott
UT Mitt Romney,FL Rick Scott
TN Lamar Alexander,FL Rick Scott
TN Marsha Blackburn,FL Rick Scott
SD John Thune,FL Rick Scott
SD Mike Rounds,FL Rick Scott
RI Jack Reed,FL Rick Scott
RI Sheldon Whitehouse,FL Rick Scott
PA Robert P. Casey Jr.,FL Rick Scott
OR Ron Wyden,FL Rick Scott
OH Sherrod Brown,FL Rick Scott
OH Rob Portman,FL Rick Scott
ND John Hoeven,FL Rick Scott
ND Kevin Cramer,FL Rick Scott
NM Tom Udall,FL Rick Scott
NJ Robert Menendez,FL Rick Scott
NH Jeanne Shaheen,FL Rick Scott
NH Margaret Wood Hassan,FL Rick Scott
NV Catherine Cortez Masto,FL Rick Scott
NV Jacky Rosen,FL Rick Scott
NE Ben Sasse,FL Rick Scott
MT Jon Tester,FL Rick Scott
MT Steve Daines,FL Rick Scott
MO Roy Blunt,FL Rick Scott
MS Cindy Hyde-Smith,FL Rick Scott
MN Amy Klobuchar,FL Rick Scott
MI Gary C. Peters,FL Rick Scott
MD Benjamin L. Cardin,FL Rick Scott
MD Chris Van Hollen,FL Rick Scott
ME Angus S. King Jr.,FL Rick Scott
LA Bill Cassidy,FL Rick Scott
IN Mike Braun,FL Rick Scott
IL Richard J. Durbin,FL Rick Scott
IL Tammy Duckworth,FL Rick Scott
ID Mike Crapo,FL Rick Scott
ID James E. Risch,FL Rick Scott
HI Brian Schatz,FL Rick Scott
GA Johnny Isakson,FL Rick Scott
DE Christopher A. Coons,FL Rick Scott
CT Richard Blumenthal,FL Rick Scott
CO Michael F. Bennet,FL Rick Scott
AR John Boozman,FL Rick Scott
AR Tom Cotton,FL Rick Scott
AZ Kyrsten Sinema,FL Rick Scott
AK Dan Sullivan,FL Rick Scott
AL Richard C. Shelby,FL Rick Scott
AL Doug Jones,FL Rick Scott
IA Chuck Grassley,FL Rick Scott
IN Todd Young,FL Rick Scott
CO Cory Gardner,FL Rick Scott
NC Thom Tillis,FL Rick Scott
OK James M. Inhofe,FL Rick Scott
OK James Lankford,FL Rick Scott
AK Lisa Murkowski,FL Rick Scott
KS Pat Roberts,FL Rick Scott
KS Jerry Moran,FL Rick Scott
NC Richard Burr,FL Rick Scott
PA Patrick J. Toomey,FL Rick Scott
LA John Kennedy,FL Rick Scott
MS Roger F. Wicker,FL Rick Scott
WV Shelley Moore Capito,FL Rick Scott
GA David Perdue,FL Rick Scott
WI Ron Johnson,FL Rick Scott
IA Joni Ernst,FL Rick Scott
NE Deb Fischer,FL Rick Scott
MN Tina Smith,FL Rick Scott
VA Tim Kaine,FL Rick Scott
NM Martin Heinrich,FL Rick Scott
OR Jeff Merkley,FL Rick Scott
MA Edward J. Markey,FL Rick Scott
ME Susan M. Collins,FL Rick Scott
DE Thomas R. Carper,FL Rick Scott
CA Dianne Feinstein,FL Rick Scott
MA Elizabeth Warren,FL Rick Scott
HI Mazie K. Hirono,FL Rick Scott
MI Debbie Stabenow,FL Rick Scott
CA Kamala D. Harris,FL Rick Scott
KY Rand Paul,FL Rick Scott
WI Tammy Baldwin,FL Rick Scott
TX Ted Cruz,FL Rick Scott
KY Mitch McConnell,FL Rick Scott
WA Patty Murray,FL Rick Scott
SC Tim Scott,FL Rick Scott
WA Maria Cantwell,FL Rick Scott
VT Patrick J. Leahy,FL Rick Scott
TX John Cornyn,FL Rick Scott
SC Lindsey Graham,FL Rick Scott
MO Josh Hawley,GA David Perdue
AL Doug Jones,HI Mazie K. Hirono
NY Kirsten E. Gillibrand,HI Mazie K. Hirono
MN Amy Klobuchar,HI Mazie K. Hirono
NV Catherine Cortez Masto,HI Mazie K. Hirono
AZ Kyrsten Sinema,HI Mazie K. Hirono
NV Jacky Rosen,HI Mazie K. Hirono
CA Kamala D. Harris,HI Mazie K. Hirono
MN Tina Smith,HI Mazie K. Hirono
MT Jon Tester,HI Mazie K. Hirono
ID Mike Crapo,HI Mazie K. Hirono
NH Margaret Wood Hassan,HI Mazie K. Hirono
ME Susan M. Collins,HI Mazie K. Hirono
OR Jeff Merkley,HI Mazie K. Hirono
WA Maria Cantwell,HI Mazie K. Hirono
CO Michael F. Bennet,HI Mazie K. Hirono
MI Gary C. Peters,HI Mazie K. Hirono
DE Thomas R. Carper,HI Mazie K. Hirono
MI Debbie Stabenow,HI Mazie K. Hirono
AK Dan Sullivan,HI Mazie K. Hirono
RI Jack Reed,HI Mazie K. Hirono
RI Sheldon Whitehouse,HI Mazie K. Hirono
TX John Cornyn,HI Mazie K. Hirono
KS Jerry Moran,HI Mazie K. Hirono
NJ Cory A. Booker,HI Mazie K. Hirono
NJ Robert Menendez,HI Mazie K. Hirono
UT Mike Lee,HI Mazie K. Hirono
SC Tim Scott,HI Mazie K. Hirono
IA Chuck Grassley,HI Mazie K. Hirono
CA Dianne Feinstein,HI Mazie K. Hirono
PA Robert P. Casey Jr.,HI Mazie K. Hirono
ME Angus S. King Jr.,HI Mazie K. Hirono
HI Brian Schatz,HI Mazie K. Hirono
WV Joe Manchin III,HI Mazie K. Hirono
NM Tom Udall,HI Mazie K. Hirono
WI Tammy Baldwin,HI Mazie K. Hirono
NE Deb Fischer,HI Mazie K. Hirono
NM Martin Heinrich,HI Mazie K. Hirono
AK Lisa Murkowski,HI Mazie K. Hirono
VA Tim Kaine,HI Mazie K. Hirono
DE Christopher A. Coons,HI Mazie K. Hirono
MD Benjamin L. Cardin,HI Mazie K. Hirono
OH Sherrod Brown,HI Mazie K. Hirono
CT Richard Blumenthal,HI Mazie K. Hirono
IL Tammy Duckworth,HI Mazie K. Hirono
MA Elizabeth Warren,HI Mazie K. Hirono
VA Mark R. Warner,HI Mazie K. Hirono
IL Richard J. Durbin,HI Mazie K. Hirono
VT Patrick J. Leahy,HI Mazie K. Hirono
WA Patty Murray,HI Mazie K. Hirono
NH Jeanne Shaheen,HI Mazie K. Hirono
OR Ron Wyden,HI Mazie K. Hirono
MD Chris Van Hollen,HI Mazie K. Hirono
MA Edward J. Markey,HI Mazie K. Hirono
VT Bernard Sanders,HI Mazie K. Hirono
SD John Thune,HI Brian Schatz
ID James E. Risch,HI Brian Schatz
VT Bernard Sanders,HI Brian Schatz
DE Christopher A. Coons,HI Brian Schatz
IL Richard J. Durbin,HI Brian Schatz
NE Ben Sasse,HI Brian Schatz
WA Patty Murray,HI Brian Schatz
OR Jeff Merkley,HI Brian Schatz
NM Martin Heinrich,HI Brian Schatz
MA Edward J. Markey,HI Brian Schatz
VT Patrick J. Leahy,HI Brian Schatz
PA Robert P. Casey Jr.,HI Brian Schatz
OR Ron Wyden,HI Brian Schatz
OH Sherrod Brown,HI Brian Schatz
HI Mazie K. Hirono,HI Brian Schatz
AZ Kyrsten Sinema,HI Brian Schatz
WI Tammy Baldwin,HI Brian Schatz
RI Sheldon Whitehouse,HI Brian Schatz
OK James M. Inhofe,IA Joni Ernst
SC Lindsey Graham,IA Joni Ernst
IN Todd Young,IA Joni Ernst
IN Mike Braun,IA Joni Ernst
TN Marsha Blackburn,IA Joni Ernst
FL Rick Scott,IA Joni Ernst
MO Josh Hawley,IA Joni Ernst
UT Mitt Romney,IA Joni Ernst
ND Kevin Cramer,IA Joni Ernst
MS Cindy Hyde-Smith,IA Joni Ernst
SD John Thune,IA Joni Ernst
UT Mike Lee,IA Joni Ernst
WV Joe Manchin III,IA Joni Ernst
WV Shelley Moore Capito,IA Joni Ernst
ME Susan M. Collins,IA Joni Ernst
NE Ben Sasse,IA Joni Ernst
TX Ted Cruz,IA Joni Ernst
MT Steve Daines,IA Joni Ernst
CO Cory Gardner,IA Joni Ernst
TX John Cornyn,IA Joni Ernst
OK James Lankford,IA Joni Ernst
KY Mitch McConnell,IA Joni Ernst
AK Lisa Murkowski,IA Joni Ernst
AL Richard C. Shelby,IA Joni Ernst
TN Lamar Alexander,IA Joni Ernst
KY Rand Paul,IA Joni Ernst
PA Patrick J. Toomey,IA Joni Ernst
AR Tom Cotton,IA Joni Ernst
WI Ron Johnson,IA Joni Ernst
OH Sherrod Brown,IA Joni Ernst
OH Rob Portman,IA Joni Ernst
LA John Kennedy,IA Joni Ernst
GA Johnny Isakson,IA Joni Ernst
GA David Perdue,IA Joni Ernst
AK Dan Sullivan,IA Joni Ernst
NC Thom Tillis,IA Joni Ernst
NC Richard Burr,IA Joni Ernst
MO Roy Blunt,IA Joni Ernst
AR John Boozman,IA Joni Ernst
KS Jerry Moran,IA Joni Ernst
ND John Hoeven,IA Joni Ernst
KS Pat Roberts,IA Joni Ernst
ID James E. Risch,IA Joni Ernst
ID Mike Crapo,IA Joni Ernst
WY John Barrasso,IA Joni Ernst
MS Roger F. Wicker,IA Joni Ernst
NE Deb Fischer,IA Joni Ernst
SC Tim Scott,IA Joni Ernst
OR Ron Wyden,IA Joni Ernst
IA Chuck Grassley,IA Joni Ernst
IA Joni Ernst,IA Chuck Grassley
GA Johnny Isakson,IA Chuck Grassley
VA Mark R. Warner,IA Chuck Grassley
MS Roger F. Wicker,IA Chuck Grassley
FL Marco Rubio,IA Chuck Grassley
DE Christopher A. Coons,IA Chuck Grassley
OR Ron Wyden,IA Chuck Grassley
WV Joe Manchin III,IA Chuck Grassley
AR John Boozman,IA Chuck Grassley
NC Richard Burr,IA Chuck Grassley
KS Pat Roberts,IA Chuck Grassley
PA Patrick J. Toomey,IA Chuck Grassley
UT Mike Lee,IA Chuck Grassley
WI Ron Johnson,IA Chuck Grassley
KS Jerry Moran,IA Chuck Grassley
KY Rand Paul,IA Chuck Grassley
OH Rob Portman,IA Chuck Grassley
MO Roy Blunt,IA Chuck Grassley
TN Lamar Alexander,IA Chuck Grassley
SD Mike Rounds,ID Mike Crapo
SD Mike Rounds,ID James E. Risch
LA Bill Cassidy,IN Mike Braun
DE Thomas R. Carper,KS Jerry Moran
NH Jeanne Shaheen,KS Jerry Moran
TN Marsha Blackburn,KS Jerry Moran
LA John Kennedy,KS Jerry Moran
NC Thom Tillis,KS Jerry Moran
ND Kevin Cramer,KS Jerry Moran
IN Todd Young,KS Jerry Moran
WI Tammy Baldwin,KS Jerry Moran
CO Cory Gardner,KS Jerry Moran
WA Patty Murray,KS Jerry Moran
SC Lindsey Graham,KS Jerry Moran
PA Robert P. Casey Jr.,KS Jerry Moran
NV Jacky Rosen,KS Jerry Moran
NE Ben Sasse,KS Jerry Moran
IN Mike Braun,KS Jerry Moran
UT Mitt Romney,KS Jerry Moran
MT Steve Daines,KS Jerry Moran
MI Gary C. Peters,KS Jerry Moran
NH Margaret Wood Hassan,KS Jerry Moran
AK Dan Sullivan,KS Jerry Moran
WV Shelley Moore Capito,KS Jerry Moran
MS Cindy Hyde-Smith,KS Jerry Moran
KY Mitch McConnell,KS Jerry Moran
CA Dianne Feinstein,KS Jerry Moran
MT Jon Tester,KS Jerry Moran
IA Joni Ernst,KS Jerry Moran
IL Richard J. Durbin,KS Jerry Moran
AZ Kyrsten Sinema,KS Jerry Moran
NM Tom Udall,KS Jerry Moran
NM Martin Heinrich,KS Jerry Moran
OK James Lankford,KS Jerry Moran
GA David Perdue,KS Jerry Moran
AR Tom Cotton,KS Jerry Moran
HI Mazie K. Hirono,KS Jerry Moran
RI Sheldon Whitehouse,KS Jerry Moran
ME Angus S. King Jr.,KS Jerry Moran
VT Bernard Sanders,KS Jerry Moran
RI Jack Reed,KS Jerry Moran
MA Elizabeth Warren,KS Jerry Moran
OR Jeff Merkley,KS Jerry Moran
WV Joe Manchin III,KS Jerry Moran
TX Ted Cruz,KS Jerry Moran
VA Tim Kaine,KS Jerry Moran
NE Deb Fischer,KS Jerry Moran
ID Mike Crapo,KS Jerry Moran
CT Richard Blumenthal,KS Jerry Moran
ND John Hoeven,KS Jerry Moran
ID James E. Risch,KS Jerry Moran
SC Tim Scott,KS Jerry Moran
AL Richard C. Shelby,KS Jerry Moran
MS Roger F. Wicker,KS Jerry Moran
VA Mark R. Warner,KS Jerry Moran
DE Christopher A. Coons,KS Jerry Moran
FL Marco Rubio,KS Jerry Moran
ME Susan M. Collins,KS Jerry Moran
NC Richard Burr,KS Jerry Moran
KY Rand Paul,KS Jerry Moran
AK Lisa Murkowski,KS Jerry Moran
WI Ron Johnson,KS Jerry Moran
UT Mike Lee,KS Jerry Moran
TN Lamar Alexander,KS Jerry Moran
WY John Barrasso,KS Jerry Moran
OK James M. Inhofe,KS Jerry Moran
TX John Cornyn,KS Jerry Moran
GA Johnny Isakson,KS Jerry Moran
PA Patrick J. Toomey,KS Jerry Moran
OH Rob Portman,KS Jerry Moran
IA Chuck Grassley,KS Jerry Moran
OR Ron Wyden,KS Jerry Moran
AR John Boozman,KS Jerry Moran
MO Roy Blunt,KS Jerry Moran
SD John Thune,KS Jerry Moran
KS Pat Roberts,KS Jerry Moran
TN Marsha Blackburn,KS Pat Roberts
ND Kevin Cramer,KS Pat Roberts
MD Chris Van Hollen,KS Pat Roberts
CO Cory Gardner,KS Pat Roberts
OK James Lankford,KS Pat Roberts
AK Dan Sullivan,KS Pat Roberts
MT Steve Daines,KS Pat Roberts
KY Mitch McConnell,KS Pat Roberts
ME Angus S. King Jr.,KS Pat Roberts
NM Martin Heinrich,KS Pat Roberts
NM Tom Udall,KS Pat Roberts
NH Jeanne Shaheen,KS Pat Roberts
IL Richard J. Durbin,KS Pat Roberts
WA Patty Murray,KS Pat Roberts
CT Richard Blumenthal,KS Pat Roberts
CO Michael F. Bennet,KS Pat Roberts
PA Robert P. Casey Jr.,KS Pat Roberts
WV Shelley Moore Capito,KS Pat Roberts
WV Joe Manchin III,KS Pat Roberts
ID James E. Risch,KS Pat Roberts
AR Tom Cotton,KS Pat Roberts
GA David Perdue,KS Pat Roberts
NC Thom Tillis,KS Pat Roberts
NE Ben Sasse,KS Pat Roberts
IA Joni Ernst,KS Pat Roberts
NE Deb Fischer,KS Pat Roberts
MO Roy Blunt,KS Pat Roberts
ME Susan M. Collins,KS Pat Roberts
SC Tim Scott,KS Pat Roberts
TX Ted Cruz,KS Pat Roberts
NC Richard Burr,KS Pat Roberts
AL Richard C. Shelby,KS Pat Roberts
FL Marco Rubio,KS Pat Roberts
ID Mike Crapo,KS Pat Roberts
KY Rand Paul,KS Pat Roberts
UT Mike Lee,KS Pat Roberts
ND John Hoeven,KS Pat Roberts
AR John Boozman,KS Pat Roberts
WI Ron Johnson,KS Pat Roberts
DE Thomas R. Carper,KS Pat Roberts
MI Debbie Stabenow,KS Pat Roberts
MS Roger F. Wicker,KS Pat Roberts
AK Lisa Murkowski,KS Pat Roberts
OH Rob Portman,KS Pat Roberts
PA Patrick J. Toomey,KS Pat Roberts
SD John Thune,KS Pat Roberts
GA Johnny Isakson,KS Pat Roberts
IA Chuck Grassley,KS Pat Roberts
TX John Cornyn,KS Pat Roberts
OK James M. Inhofe,KS Pat Roberts
WY John Barrasso,KS Pat Roberts
KS Jerry Moran,KS Pat Roberts
TN Lamar Alexander,KS Pat Roberts
MO Josh Hawley,KY Mitch McConnell
IN Mike Braun,KY Mitch McConnell
FL Rick Scott,KY Mitch McConnell
TN Marsha Blackburn,KY Mitch McConnell
ND Kevin Cramer,KY Mitch McConnell
UT Mitt Romney,KY Mitch McConnell
LA John Kennedy,KY Mitch McConnell
IN Todd Young,KY Mitch McConnell
NC Thom Tillis,KY Mitch McConnell
TX Ted Cruz,KY Mitch McConnell
UT Mike Lee,KY Mitch McConnell
OK James M. Inhofe,KY Mitch McConnell
AR John Boozman,KY Mitch McConnell
IA Chuck Grassley,KY Mitch McConnell
MT Steve Daines,KY Mitch McConnell
AK Lisa Murkowski,KY Mitch McConnell
KS Jerry Moran,KY Mitch McConnell
OH Rob Portman,KY Mitch McConnell
ME Susan M. Collins,KY Mitch McConnell
AL Richard C. Shelby,KY Mitch McConnell
NC Richard Burr,KY Mitch McConnell
KS Pat Roberts,KY Mitch McConnell
TN Lamar Alexander,KY Mitch McConnell
GA Johnny Isakson,KY Mitch McConnell
WV Shelley Moore Capito,KY Mitch McConnell
SC Tim Scott,KY Mitch McConnell
PA Patrick J. Toomey,KY Mitch McConnell
OK James Lankford,KY Mitch McConnell
WI Ron Johnson,KY Mitch McConnell
CO Cory Gardner,KY Mitch McConnell
ND John Hoeven,KY Mitch McConnell
ID Mike Crapo,KY Mitch McConnell
AR Tom Cotton,KY Mitch McConnell
NE Deb Fischer,KY Mitch McConnell
ID James E. Risch,KY Mitch McConnell
IA Joni Ernst,KY Mitch McConnell
GA David Perdue,KY Mitch McConnell
AK Dan Sullivan,KY Mitch McConnell
SD Mike Rounds,KY Mitch McConnell
NE Ben Sasse,KY Mitch McConnell
KY Rand Paul,KY Mitch McConnell
MS Roger F. Wicker,KY Mitch McConnell
WY John Barrasso,KY Mitch McConnell
MO Roy Blunt,KY Mitch McConnell
SD John Thune,KY Mitch McConnell
TX John Cornyn,KY Mitch McConnell
CO Cory Gardner,KY Rand Paul
NC Thom Tillis,KY Rand Paul
CT Richard Blumenthal,KY Rand Paul
ND John Hoeven,KY Rand Paul
TX Ted Cruz,KY Rand Paul
NE Deb Fischer,KY Rand Paul
GA Johnny Isakson,KY Rand Paul
ME Susan M. Collins,KY Rand Paul
MS Roger F. Wicker,KY Rand Paul
KS Pat Roberts,KY Rand Paul
ID James E. Risch,KY Rand Paul
VT Patrick J. Leahy,KY Rand Paul
UT Mike Lee,KY Rand Paul
SC Tim Scott,KY Rand Paul
ID Mike Crapo,KY Rand Paul
AK Lisa Murkowski,KY Rand Paul
WY John Barrasso,KY Rand Paul
TN Lamar Alexander,KY Rand Paul
OH Rob Portman,KY Rand Paul
NC Richard Burr,KY Rand Paul
FL Marco Rubio,KY Rand Paul
MO Roy Blunt,KY Rand Paul
SD John Thune,KY Rand Paul
AR John Boozman,KY Rand Paul
OR Ron Wyden,KY Rand Paul
TX John Cornyn,KY Rand Paul
PA Patrick J. Toomey,KY Rand Paul
IA Chuck Grassley,KY Rand Paul
WI Ron Johnson,KY Rand Paul
KS Jerry Moran,KY Rand Paul
WV Joe Manchin III,LA Bill Cassidy
NH Margaret Wood Hassan,LA Bill Cassidy
NJ Robert Menendez,LA Bill Cassidy
