Senator Name,Decision,Bill
PA Patrick J. Toomey,Yea,0
NM Tom Udall,Yea,0
MD Chris Van Hollen,Yea,0
VA Mark R. Warner,Yea,0
MA Elizabeth Warren,Not Voting,0
RI Sheldon Whitehouse,Yea,0
MS Roger F. Wicker,Yea,0
OR Ron Wyden,Nay,0
IN Todd Young,Yea,0
TN Lamar Alexander,Yea,1
WI Tammy Baldwin,Yea,1
WY John Barrasso,Yea,1
CO Michael F. Bennet,Yea,1
TN Marsha Blackburn,Yea,1
CT Richard Blumenthal,Yea,1
MO Roy Blunt,Yea,1
NJ Cory A. Booker,Not Voting,1
AR John Boozman,Yea,1
IN Mike Braun,Nay,1
OH Sherrod Brown,Yea,1
NC Richard Burr,Yea,1
WA Maria Cantwell,Yea,1
WV Shelley Moore Capito,Yea,1
MD Benjamin L. Cardin,Yea,1
DE Thomas R. Carper,Yea,1
PA Robert P. Casey Jr.,Yea,1
LA Bill Cassidy,Nay,1
ME Susan M. Collins,Yea,1
DE Christopher A. Coons,Yea,1
TX John Cornyn,Yea,1
NV Catherine Cortez Masto,Yea,1
AR Tom Cotton,Yea,1
ND Kevin Cramer,Yea,1
ID Mike Crapo,Yea,1
TX Ted Cruz,Yea,1
MT Steve Daines,Yea,1
IL Tammy Duckworth,Yea,1
IL Richard J. Durbin,Yea,1
WY Michael B. Enzi,Nay,1
IA Joni Ernst,Yea,1
CA Dianne Feinstein,Yea,1
NE Deb Fischer,Yea,1
CO Cory Gardner,Yea,1
NY Kirsten E. Gillibrand,Nay,1
SC Lindsey Graham,Yea,1
IA Chuck Grassley,Yea,1
CA Kamala D. Harris,Not Voting,1
NH Margaret Wood Hassan,Yea,1
MO Josh Hawley,Yea,1
NM Martin Heinrich,Yea,1
HI Mazie K. Hirono,Yea,1
ND John Hoeven,Yea,1
MS Cindy Hyde-Smith,Yea,1
OK James M. Inhofe,Yea,1
GA Johnny Isakson,Not Voting,1
WI Ron Johnson,Nay,1
AL Doug Jones,Yea,1
VA Tim Kaine,Yea,1
LA John Kennedy,Nay,1
ME Angus S. King Jr.,Yea,1
MN Amy Klobuchar,Not Voting,1
OK James Lankford,Yea,1
VT Patrick J. Leahy,Yea,1
UT Mike Lee,Nay,1
WV Joe Manchin III,Yea,1
MA Edward J. Markey,Nay,1
KY Mitch McConnell,Yea,1
AZ Martha McSally,Yea,1
NJ Robert Menendez,Yea,1
OR Jeff Merkley,Yea,1
KS Jerry Moran,Yea,1
AK Lisa Murkowski,Yea,1
CT Christopher Murphy,Yea,1
WA Patty Murray,Yea,1
KY Rand Paul,Nay,1
GA David Perdue,Yea,1
MI Gary C. Peters,Yea,1
OH Rob Portman,Yea,1
RI Jack Reed,Yea,1
ID James E. Risch,Yea,1
KS Pat Roberts,Yea,1
UT Mitt Romney,Nay,1
NV Jacky Rosen,Yea,1
SD Mike Rounds,Yea,1
FL Marco Rubio,Yea,1
VT Bernard Sanders,Not Voting,1
NE Ben Sasse,Yea,1
HI Brian Schatz,Yea,1
NY Charles E. Schumer,Yea,1
FL Rick Scott,Yea,1
SC Tim Scott,Yea,1
NH Jeanne Shaheen,Yea,1
AL Richard C. Shelby,Yea,1
AZ Kyrsten Sinema,Yea,1
MN Tina Smith,Yea,1
MI Debbie Stabenow,Yea,1
AK Dan Sullivan,Yea,1
MT Jon Tester,Yea,1
SD John Thune,Yea,1
NC Thom Tillis,Yea,1
PA Patrick J. Toomey,Nay,1
NM Tom Udall,Yea,1
MD Chris Van Hollen,Yea,1
VA Mark R. Warner,Yea,1
MA Elizabeth Warren,Not Voting,1
RI Sheldon Whitehouse,Yea,1
MS Roger F. Wicker,Yea,1
OR Ron Wyden,Nay,1
IN Todd Young,Yea,1
TN Lamar Alexander,Yea,2
WI Tammy Baldwin,Yea,2
WY John Barrasso,Yea,2
CO Michael F. Bennet,Not Voting,2
TN Marsha Blackburn,Yea,2
CT Richard Blumenthal,Yea,2
MO Roy Blunt,Yea,2
NJ Cory A. Booker,Not Voting,2
AR John Boozman,Yea,2
IN Mike Braun,Nay,2
OH Sherrod Brown,Yea,2
NC Richard Burr,Yea,2
WA Maria Cantwell,Yea,2
WV Shelley Moore Capito,Yea,2
MD Benjamin L. Cardin,Yea,2
DE Thomas R. Carper,Nay,2
PA Robert P. Casey Jr.,Yea,2
LA Bill Cassidy,Not Voting,2
ME Susan M. Collins,Yea,2
DE Christopher A. Coons,Yea,2
TX John Cornyn,Yea,2
NV Catherine Cortez Masto,Yea,2
AR Tom Cotton,Yea,2
ND Kevin Cramer,Yea,2
ID Mike Crapo,Yea,2
TX Ted Cruz,Yea,2
MT Steve Daines,Not Voting,2
IL Tammy Duckworth,Not Voting,2
IL Richard J. Durbin,Yea,2
WY Michael B. Enzi,Nay,2
IA Joni Ernst,Yea,2
CA Dianne Feinstein,Yea,2
NE Deb Fischer,Yea,2
CO Cory Gardner,Yea,2
NY Kirsten E. Gillibrand,Nay,2
SC Lindsey Graham,Not Voting,2
IA Chuck Grassley,Yea,2
CA Kamala D. Harris,Not Voting,2
NH Margaret Wood Hassan,Yea,2
MO Josh Hawley,Yea,2
NM Martin Heinrich,Yea,2
HI Mazie K. Hirono,Yea,2
ND John Hoeven,Yea,2
MS Cindy Hyde-Smith,Yea,2
OK James M. Inhofe,Yea,2
GA Johnny Isakson,Not Voting,2
WI Ron Johnson,Yea,2
AL Doug Jones,Yea,2
VA Tim Kaine,Yea,2
LA John Kennedy,Not Voting,2
ME Angus S. King Jr.,Yea,2
MN Amy Klobuchar,Not Voting,2
OK James Lankford,Yea,2
VT Patrick J. Leahy,Yea,2
UT Mike Lee,Nay,2
WV Joe Manchin III,Yea,2
MA Edward J. Markey,Not Voting,2
KY Mitch McConnell,Yea,2
AZ Martha McSally,Yea,2
NJ Robert Menendez,Yea,2
OR Jeff Merkley,Not Voting,2
KS Jerry Moran,Yea,2
AK Lisa Murkowski,Yea,2
CT Christopher Murphy,Yea,2
WA Patty Murray,Yea,2
KY Rand Paul,Nay,2
GA David Perdue,Not Voting,2
MI Gary C. Peters,Yea,2
OH Rob Portman,Yea,2
RI Jack Reed,Yea,2
ID James E. Risch,Yea,2
KS Pat Roberts,Yea,2
UT Mitt Romney,Yea,2
NV Jacky Rosen,Yea,2
SD Mike Rounds,Yea,2
FL Marco Rubio,Yea,2
VT Bernard Sanders,Not Voting,2
NE Ben Sasse,Not Voting,2
HI Brian Schatz,Yea,2
NY Charles E. Schumer,Yea,2
FL Rick Scott,Yea,2
SC Tim Scott,Yea,2
NH Jeanne Shaheen,Yea,2
AL Richard C. Shelby,Yea,2
AZ Kyrsten Sinema,Yea,2
MN Tina Smith,Yea,2
MI Debbie Stabenow,Yea,2
AK Dan Sullivan,Yea,2
MT Jon Tester,Yea,2
SD John Thune,Yea,2
NC Thom Tillis,Yea,2
PA Patrick J. Toomey,Not Voting,2
NM Tom Udall,Yea,2
MD Chris Van Hollen,Yea,2
VA Mark R. Warner,Yea,2
MA Elizabeth Warren,Not Voting,2
RI Sheldon Whitehouse,Yea,2
MS Roger F. Wicker,Yea,2
OR Ron Wyden,Not Voting,2
IN Todd Young,Yea,2
TN Lamar Alexander,Yea,3
WI Tammy Baldwin,Yea,3
WY John Barrasso,Yea,3
CO Michael F. Bennet,Not Voting,3
TN Marsha Blackburn,Yea,3
CT Richard Blumenthal,Yea,3
MO Roy Blunt,Yea,3
NJ Cory A. Booker,Not Voting,3
AR John Boozman,Yea,3
IN Mike Braun,Yea,3
OH Sherrod Brown,Yea,3
NC Richard Burr,Nay,3
WA Maria Cantwell,Yea,3
WV Shelley Moore Capito,Yea,3
MD Benjamin L. Cardin,Yea,3
DE Thomas R. Carper,Yea,3
PA Robert P. Casey Jr.,Yea,3
LA Bill Cassidy,Yea,3
ME Susan M. Collins,Yea,3
DE Christopher A. Coons,Yea,3
TX John Cornyn,Yea,3
NV Catherine Cortez Masto,Yea,3
AR Tom Cotton,Yea,3
ND Kevin Cramer,Yea,3
ID Mike Crapo,Yea,3
TX Ted Cruz,Yea,3
MT Steve Daines,Yea,3
IL Tammy Duckworth,Yea,3
IL Richard J. Durbin,Yea,3
WY Michael B. Enzi,Yea,3
IA Joni Ernst,Yea,3
CA Dianne Feinstein,Yea,3
NE Deb Fischer,Yea,3
CO Cory Gardner,Yea,3
NY Kirsten E. Gillibrand,Yea,3
SC Lindsey Graham,Yea,3
IA Chuck Grassley,Yea,3
